"Anatomical Structures, Cell Types and Biomarkers Table for Lung v1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Gloria Pryhuber; Xin Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-9185-3994; 0000-0001-8387-4966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Jeff Whitsett; Ed Morrisey; Martijn Nawijn; Purushotha Tata; Ansley Conchola; Ellen Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"10.1038/s41586-020-2922-4; 10.1038/s41586-020-2922-4; 10.1152/physrev.00001.2018; 10.1038/s41586-018-0394-6; doi:10.1172/jci.insight.90558; 10.1126/sciadv.aba1983; 10.7554/eLife.62522; 10.1164/rccm.201911-2199OC; Gray's Anatomy The Anatomical Basis of Clinical Practice ed.Standring, S. Elsevier. 2021 ISBN:978-0-7020-7705-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,10.48539/HBM868.DWJZ.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,3/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEDAR Template ID:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID,AS/9,AS/9/LABEL,AS/9/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTES,AS-CT PMID,AS-CT DOI,AS-CT Reference,CT/2,CT/2/LABEL,CT/2/ID,CT/3,CT/3/LABEL,CT/3/ID,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/5,BGene/5/LABEL,BGene/5/ID,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,REF/1,REF/1/DOI,REF/2,REF/2/DOI,REF/3,REF/3/DOI,CEDAR/ID,CEDAR/LAST_UPLOADED_ON
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Primary Bronchioles,Set of Proximal Bronchioles,fma:279818,,,,,,,,,,,,,ciliated cuboidal epithelium,ciliated cuboidal epithelium,,not in CL,,,,,,,,,,FOXJ1,forkhead box J1,HGNC:3816,RSPH1,radial spoke head component 1,HGNC:12371,DYNLRB2,dynein light chain roadblock-type 2,HGNC:15467,TUBB4B,tubulin beta 4B class IVb,HGNC:20771,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Primary Bronchioles,Set of Proximal Bronchioles,fma:279818,,,,,,,,,,,,,club,club cell of bronchiole,CL:0000158,,,,,,,,,,,SCGB1A1,secretoglobin family 1A member 1,HGNC:12523,SCGB3A2,secretoglobin family 3A member 2,HGNC:18391,CYP2F2,cytochrome P450 family 2 subfamily F member 1,HGNC:2632,CCKAR,cholecystokinin A receptor,HGNC:1570,CTSE,cathepsin E,HGNC:2530,SCGB3A2,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Primary Bronchioles,Set of Proximal Bronchioles,fma:279818,,,,,,,,,,,,,serous,serous cell of epithelium of lobular bronchiole,CL:1000333,,,,,,,,,,,PRR4,proline rich 4,HGNC:18020,LPO,lactoperoxidase,HGNC:6678,LTF,lactotransferrin,HGNC:6720,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Primary Bronchioles,Set of Proximal Bronchioles,fma:279818,,,,,,,,,,,,,smooth muscle cells,airway smooth muscle cells,,not in CL,,,,,,,,,,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,TAGLN,transgelin,HGNC:11553,CNN1,calponin 1,HGNC:2155,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Primary Bronchioles,Set of Proximal Bronchioles,fma:279818,,,,,,,,,,,,,basal,basal epithelial cell of lobular bronchiole,CL:1000352,,,,,,,,,,,TP63,tumor protein p63,HGNC:15979,KRT5,keratin 5,HGNC:6442,NGFR,nerve growth factor receptor,HGNC:7809,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Terminal/ Transitional Bronchioles,terminal bronchiole,UBERON:0002187,,,,,,,,,,terminal bronchiole serous cell,serous cell of epithelium of terminal bronchiole,CL:1000332,,,,,,,,,,,LYZ,lysozyme,HGNC:6740,LTF,lactotransferrin,HGNC:6720,PIGR,polymeric immunoglobulin receptor,HGNC:8968,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Terminal/ Transitional Bronchioles,terminal bronchiole,UBERON:0002187,,,,,,,,,,ciliated cuboidal epithelium,ciliated cuboidal epithelium,,not in CL,,,,,,,,,,FOXJ1,forkhead box J1,HGNC:3816,RSPH1,radial spoke head component 1,HGNC:12371,DYNLRB2,dynein light chain roadblock-type 2,HGNC:15467,TUBB4B,tubulin beta 4B class IVb,HGNC:20771,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Terminal/ Transitional Bronchioles,terminal bronchiole,UBERON:0002187,,,,,,,,,,club,club cell of bronchiole,CL:0000158,,,,,,,,,,,SCGB1A1,secretoglobin family 1A member 1,HGNC:12523,SCGB3A2,secretoglobin family 3A member 2,HGNC:18391,CYP2F2,cytochrome P450 family 2 subfamily F member 1,HGNC:2632,CCKAR,cholecystokinin A receptor,HGNC:1570,CTSE,cathepsin E,HGNC:2530,SCGB3A2,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Terminal/ Transitional Bronchioles,terminal bronchiole,UBERON:0002187,smooth muscle tissue of terminal bronchiole,smooth muscle tissue of terminal bronchiole,UBERON_0004516,,,,,,,smooth muscle cells,airway smooth muscle cells,,not in CL,,,,,,,,,,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,TAGLN,transgelin,HGNC:11553,CNN1,calponin 1,HGNC:2155,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Terminal/ Transitional Bronchioles,terminal bronchiole,UBERON:0002187,,,,,,,,,,basal,basal epithelial cell of terminal bronchiole,CL:1000350,,,,,,,,,,,TP63,tumor protein p63,HGNC:15979,KRT5,keratin 5,HGNC:6442,NGFR,nerve growth factor receptor,HGNC:7809,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Terminal/ Transitional Bronchioles,terminal bronchiole,UBERON:0002187,Bronchoalveolar duct junction,bronchoalveolar duct junction,UBERON:0004903,,,,,,,bronchioalveolar stem cell,bronchioalveolar stem cell,CL:1001566,,,,,,,,,,,SFTPC,surfactant protein C,HGNC:10802,SCGB1A1,secretoglobin family 1A member 1,HGNC:12523,,,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Pulmonary Acinus,Pulmonary Acinus,UBERON:0008874,Respiratory bronchioles,respiratory bronchiole,UBERON:0002188,,,,,,,ciliated cuboidal epithelium,ciliated cuboidal epithelium,,not in CL,,,,,,,,,,FOXJ1,forkhead box J1,HGNC:3816,RSPH1,radial spoke head component 1,HGNC:12371,DYNLRB2,dynein light chain roadblock-type 2,HGNC:15467,TUBB4B,tubulin beta 4B class IVb,HGNC:20771,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Pulmonary Acinus,Pulmonary Acinus,UBERON:0008874,Respiratory bronchioles,respiratory bronchiole,UBERON:0002188,,,,,,,club,club cell of bronchiole,CL:0000158,,,,,,,,,,,SCGB1A1,secretoglobin family 1A member 1,HGNC:12523,SCGB3A2,secretoglobin family 3A member 2,HGNC:18391,CYP2F2,cytochrome P450 family 2 subfamily F member 1,HGNC:2632,CCKAR,cholecystokinin A receptor,HGNC:1570,CTSE,cathepsin E,HGNC:2530,SCGB3A2,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Pulmonary Acinus,Pulmonary Acinus,UBERON:0008874,Respiratory bronchioles,respiratory bronchiole,UBERON:0002188,smooth muscle tissue of respiratory bronchiole,smooth muscle tissue of respiratory bronchiole,UBERON_0004517,,,,smooth muscle cells,airway smooth muscle cells,,not in CL,,,,,,,,,,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,TAGLN,transgelin,HGNC:11553,CNN1,calponin 1,HGNC:2155,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Pulmonary Acinus,Pulmonary Acinus,UBERON:0008874,Respiratory bronchioles,respiratory bronchiole,UBERON:0002188,,,,,,,basal,basal epithelial cell of terminal bronchiole,CL:1000350,,,,,,,,,,,TP63,tumor protein p63,HGNC:15979,KRT5,keratin 5,HGNC:6442,NGFR,nerve growth factor receptor,HGNC:7809,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Pulmonary Acinus,Pulmonary Acinus,UBERON:0008874,Alveolar Ducts,pulmonary alveolar duct,UBERON:0002173,,,,,,,smooth muscle cells,airway smooth muscle cells,,not in CL,,,,,,,,,,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,TAGLN,transgelin,HGNC:11553,CNN1,calponin 1,HGNC:2155,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Pulmonary Acinus,Pulmonary Acinus,UBERON:0008874,Alveolar Ducts,pulmonary alveolar duct,UBERON:0002173,,,,,,,lung matrix fibroblast 2,Fibroblast type 2 (F2),,not in CL,,,,,,,,,,MFAP5,microfibril associated protein 5,HGNC:29673,SCARA5,scavenger receptor class A member 5,HGNC:28701,,,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Pulmonary Acinus,Pulmonary Acinus,UBERON:0008874,Alveolar Ducts,pulmonary alveolar duct,UBERON:0002173,,,,,,,matrix fibroblast 1/(Lipofibroblast),Matrix fibroblast 1/(Lipofibroblast),LMHA:00209,not in CL,,,,,,,,,,WNT2,Wnt family member 2,HGNC:12780,TCF21,transcription factor 21 HGNC:11632,,,,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Pulmonary Acinus,Pulmonary Acinus,UBERON:0008874,Alveoli,pulmonary alveolar parenchyma,UBERON:0008870,,,,,,,AT1,type I pneumocyte,CL:0002062,,,,,,,,,,,AGER,advanced glycosylation end-product specific receptor,HGNC:320,EMP2,epithelial membrane protein 2,HGNC:3334,KRT7,,,AQP4,aquaporin 4,HGNC:637,CAV1,caveolin 1,HGNC:1527,HTI-56,,,,,,,,,Dobbs et all 1999,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Pulmonary Acinus,Pulmonary Acinus,UBERON:0008874,Alveoli,pulmonary alveolar parenchyma,UBERON:0008870,,,,,,,AT2,type II pneumocyte,CL:0002063,,,,,,,,,,,SFTPC,surfactant protein C,HGNC:10802,ABCA3,ATP binding cassette subfamily A member 3,HGNC:33,SFTPA2,surfactant protein A,,,,,,,,HT2-280,,,,,,,,,Dobbs et all 1999,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Pulmonary Acinus,Pulmonary Acinus,UBERON:0008874,Alveoli,pulmonary alveolar parenchyma,UBERON:0008870,,,,,,,secondary crest myofibroblasts,secondary crest myofibroblasts,CL:0000186,,,,,,,,,,,LTBP2,latent transforming growth factor beta binding protein 2,HGNC:6715,PDGFRA,platelet derived growth factor receptor beta,HGNC:8804,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,STC1,stanniocalcin 1,HGNC:11373,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Pulmonary Acinus,Pulmonary Acinus,UBERON:0008874,Alveoli,pulmonary alveolar parenchyma,UBERON:0008870,,,,,,,lung matrix fibroblast 2,lung matrix fibroblast 2,,not in CL,,,,,,,,,,MFAP5,microfibril associated protein 5,HGNC:29673,SCARA5,scavenger receptor class A member 5,HGNC:28701,,,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Pulmonary Acinus,Pulmonary Acinus,UBERON:0008874,Alveoli,pulmonary alveolar parenchyma,UBERON:0008870,,,,,,,matrix fibroblast 1/(Lipofibroblast),lung matrix fibroblast 1/(Lipofibroblast?),LMHA:00209,not in CL,,,,,,,,,,WNT2,Wnt family member 2,HGNC:12780,TCF21,transcription factor 21 HGNC:11632,,,,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Pulmonary Acinus,Pulmonary Acinus,UBERON:0008874,Alveoli,pulmonary alveolar parenchyma,UBERON:0008870,,,,,,,pericyte,pericyte,CL:0000669,,,,,,,,,,,PDGFRB,platelet derived growth factor receptor beta,HGNC:8804,COX4I2,cytochrome c oxidase subunit 4I2 HGNC:16232,HGNC:16232,RERGL,RERG like,HGNC:26213,CSG4,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Pulmonary Acinus,Pulmonary Acinus,UBERON:0008874,Alveoli,pulmonary alveolar parenchyma,UBERON:0008870,Alveolar capillaries,pulmonary capilllary,UBERON:0016405,,,,CAP1,capillary endothelial cell 1,,not in CL,,,,,,,,,,DTL,denticleless E3 ubiquitin protein ligase homolog,HGNC:30288,IL7R,interleukin 7 receptor HGNC:6024,,APLNT,,,PLVAP,plasmalemma vesicle associated protein,HGNC:13635,GPIHBP1,glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1,HGNC:24945,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Pulmonary Acinus,Pulmonary Acinus,UBERON:0008874,Alveoli,pulmonary alveolar parenchyma,UBERON:0008870,Alveolar capillaries,pulmonary capilllary,UBERON:0016405,,,,CAP2,capillary endothelial cell 2,,not in CL,,,,,,,,,,EDNRB,endothelin receptor type B,HGNC:3180,APLN,apelin,HGNC:16665,CA4,carbonic anhydrase 4,HGNC:1375,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Interlobular Septa,Pulmonary Interlobular Septum,fma:84472,Pulmonary Vein,pulmonary vein,UBERON:0002016,Pulmonary Vein endotheliim,Pulmonary Vein endotheliim,,,,,pulmonary venous endothelial cell,venous endothelial cell,LMHA:00805,,,,,,,,,,,ACKR1,atypical chemokine receptor 1 (Duffy blood group),HGNC:4035,PDZRN4,PDZ domain containing ring finger 4,HGNC:30552,,,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Interlobular Septa,Pulmonary Interlobular Septum,fma:84472,Pulmonary Vein,pulmonary vein,UBERON:0002016,Pulmonary Vein endotheliim,Pulmonary Vein endotheliim,,,,,endothelial progenitors,endothelial progenitor cells,CL:0002619,,,,,,,,,,,KIT,"KIT proto-oncogene, receptor tyrosine kinase",HGNC:6342,APLNR,apelin receptor,HGNC:339,,,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Interlobular Septa,Pulmonary Interlobular Septum,fma:84472,pulmonary lymphatic vessel,pulmonary lymphatic vessel,UBERON:0018227,respiratory system lymphatic vessel endothelium,respiratory system lymphatic vessel endothelium,UBERON:0003529,,,,lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,,,,,,,,,,,MMRN1,multimerin 1,HGNC:7178,PROX1,prospero homeobox 1,HGNC:9459,PDPN,podoplanin,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,Pulmonary Lobule,pulmonarly lobule,UBERON: 0010368,Interlobular Septa,Pulmonary Interlobular Septum,fma:84472,pulmonary lymphatic vessel,pulmonary lymphatic vessel,UBERON:0018227,respiratory system lymphatic vessel smooth muscle,respiratory system lymphatic vessel smooth muscle,UBERON:0004296,,,,lymphatic vessel smooth muscle cell,lymphatic vessel smooth muscle cell,CL:0019017,,,,,,,,,,,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Lateral Bronchopulmonary Segment,Right Lateral Bronchopulmonary Segment,fma:7361,visceral pleura,visceral pleura,UBERON:0002401,,,,,,,,,,,,,mesothelial cell,mesothelial cell of visceral pleura,CL:1000493,,,,,,,,,,,WT1,WT1 transcription factor,HGNC:12796,FGF9,fibroblast growth factor 9,HGNC:3687,MSLN,mesothelin,HGNC:7371,UPK3B,uroplakin 3B,HGNC:21444,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Medial Bronchopulmonary Segment,Right Medial Bronchopulmonary Segment,fma:7360,Right Medial Segmental Bronchus,Right Medial Segmental Bronchus,fma:7403,bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,club,club cell of bronchiole,CL:0000158,,,,,,,,,,,SCGB1A1,secretoglobin family 1A member 1,HGNC:12523,SCGB3A2,secretoglobin family 3A member 2,HGNC:18391,CYP2F2,,,CCKAR,cholecystokinin A receptor,HGNC:1570,CTSE,cathepsin E,HGNC:2530,SCGB1A1,,,,,,,,,"Boers, 1999",,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Medial Bronchopulmonary Segment,Right Medial Bronchopulmonary Segment,fma:7360,Right Medial Segmental Bronchus,Right Medial Segmental Bronchus,fma:7403,bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,bronchial Ciliated,ciliated cell of the bronchus,CL:0002332,,,,,,,,,,,FOXJ1,forkhead box J1,HGNC:3816,RSPH1,radial spoke head component 1,HGNC:12371,DYNLRB2,dynein light chain roadblock-type 2,HGNC:15467,TUBB4B,tubulin beta 4B class IVb,HGNC:20771,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Lung,Right Lung,UBERON:0002167,Right Middle Lobe,Middle Lobe of Right Lung,UBERON: 0002174,Right Medial Bronchopulmonary Segment,Right Medial Bronchopulmonary Segment,fma:7360,Right Medial Segmental Bronchus,Right Medial Segmental Bronchus,fma:7403,bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,basal,basal epithelial cell of tracheobronchial tree,CL:0002329,,,,,,,,,,,TP63,tumor protein p63,HGNC:15979,KRT5,keratin 5,HGNC:6442,NGFR,nerve growth factor receptor,HGNC:7809,,,,,,,,,,,,,,,,,,,,,,,
