Cell type	Cell type label	Behavior	Behavior label
CL:0000540	neuron	GO:0007415	defasciculation of motor neuron axon
CL:0000540	neuron	GO:0099519	dense core granule cytoskeletal transport
CL:0000097	mast cell	GO:0030210	heparin biosynthetic process
CL:0000236	B cell	GO:0050896	response to stimulus
CL:0000540	neuron	GO:0098747	slow, calcium ion-dependent exocytosis of neurotransmitter
CL:0001067	group 1 innate lymphoid cell	GO:0043170	macromolecule metabolic process
CL:0000242	Merkel cell	GO:0030335	positive regulation of cell migration
CL:0001067	group 1 innate lymphoid cell	GO:0070246	natural killer cell apoptotic process
CL:0001069	group 2 innate lymphoid cell	GO:0044419	biological process involved in interspecies interaction between organisms
CL:0000097	mast cell	GO:0046903	secretion
CL:0000815	regulatory T cell	GO:0050776	regulation of immune response
CL:0000235	macrophage	GO:0071888	macrophage apoptotic process
CL:0002337	keratinocyte stem cell	GO:0030154	cell differentiation
CL:0000771	eosinophil	GO:0051674	localization of cell
CL:0000312	keratinocyte	GO:0032879	regulation of localization
CL:0000540	neuron	GO:1990048	anterograde neuronal dense core vesicle transport
CL:0000649	prickle cell	GO:0019730	antimicrobial humoral response
CL:0000545	T-helper 1 cell	GO:0071704	organic substance metabolic process
CL:0002337	keratinocyte stem cell	GO:0051179	localization
CL:0000312	keratinocyte	GO:0006950	response to stress
CL:0000540	neuron	GO:0140236	translation at presynapse
CL:0000910	cytotoxic T cell	GO:0001667	ameboidal-type cell migration
CL:0000540	neuron	GO:0150047	G protein-coupled neurotransmitter receptor activity involved in regulation of presynaptic membrane potential
CL:0000540	neuron	GO:0051934	catecholamine uptake involved in synaptic transmission
CL:0000540	neuron	GO:0099642	retrograde axonal protein transport
CL:0000540	neuron	GO:0098935	dendritic transport
CL:0000540	neuron	GO:0021792	chemoattraction of branchiomotor axon
CL:0000312	keratinocyte	GO:0050794	regulation of cellular process
CL:0000097	mast cell	GO:0050896	response to stimulus
CL:0002457	epidermal Langerhans cell	GO:0050865	regulation of cell activation
CL:0000312	keratinocyte	GO:0071704	organic substance metabolic process
CL:0000235	macrophage	GO:0002376	immune system process
CL:0000312	keratinocyte	GO:1902622	regulation of neutrophil migration
CL:0000649	prickle cell	GO:0090023	positive regulation of neutrophil chemotaxis
CL:0000242	Merkel cell	GO:0032101	regulation of response to external stimulus
CL:0000312	keratinocyte	GO:0002688	regulation of leukocyte chemotaxis
CL:0001067	group 1 innate lymphoid cell	GO:0032609	interferon-gamma production
CL:0000097	mast cell	GO:0044272	sulfur compound biosynthetic process
CL:0002337	keratinocyte stem cell	GO:0042886	amide transport
CL:0000242	Merkel cell	GO:0010467	gene expression
CL:0001006	dermal dendritic cell	GO:0001667	ameboidal-type cell migration
CL:0002337	keratinocyte stem cell	GO:0044419	biological process involved in interspecies interaction between organisms
CL:0001069	group 2 innate lymphoid cell	GO:0098542	defense response to other organism
CL:0000242	Merkel cell	GO:0009605	response to external stimulus
CL:0001071	group 3 innate lymphoid cell	GO:0043207	response to external biotic stimulus
CL:0000540	neuron	GO:0071912	asynchronous neurotransmitter secretion
CL:0000623	natural killer cell	GO:0040011	locomotion
CL:0001067	group 1 innate lymphoid cell	GO:0009987	cellular process
CL:0000786	plasma cell	GO:0051179	localization
CL:0001071	group 3 innate lymphoid cell	GO:0051707	response to other organism
CL:0000242	Merkel cell	GO:0051272	positive regulation of cellular component movement
CL:0000540	neuron	GO:0048792	spontaneous exocytosis of neurotransmitter
CL:0000540	neuron	GO:0099181	structural constituent of presynapse
CL:0001069	group 2 innate lymphoid cell	GO:0006955	immune response
CL:0000815	regulatory T cell	GO:0006928	movement of cell or subcellular component
CL:0000097	mast cell	GO:0050776	regulation of immune response
CL:0000312	keratinocyte	GO:0002687	positive regulation of leukocyte migration
CL:0001069	group 2 innate lymphoid cell	GO:0051179	localization
CL:0002337	keratinocyte stem cell	GO:0040017	positive regulation of locomotion
CL:0000623	natural killer cell	GO:0002449	lymphocyte mediated immunity
CL:0000775	neutrophil	GO:0032501	multicellular organismal process
CL:0002457	epidermal Langerhans cell	GO:0050794	regulation of cellular process
CL:0000312	keratinocyte	GO:0048583	regulation of response to stimulus
CL:0001067	group 1 innate lymphoid cell	GO:0051179	localization
CL:0000097	mast cell	GO:0002658	regulation of peripheral tolerance induction
CL:0000097	mast cell	GO:0048584	positive regulation of response to stimulus
CL:0000540	neuron	GO:0007414	axonal defasciculation
CL:0000242	Merkel cell	GO:0090023	positive regulation of neutrophil chemotaxis
CL:0001006	dermal dendritic cell	GO:0032501	multicellular organismal process
CL:0000540	neuron	GO:0061527	dopamine secretion, neurotransmission
CL:0001067	group 1 innate lymphoid cell	GO:0001816	cytokine production
CL:0000097	mast cell	GO:0009059	macromolecule biosynthetic process
CL:0001069	group 2 innate lymphoid cell	GO:0045087	innate immune response
CL:0000786	plasma cell	GO:0051674	localization of cell
CL:0000540	neuron	GO:0008045	motor neuron axon guidance
CL:0000545	T-helper 1 cell	GO:0002376	immune system process
CL:0002457	epidermal Langerhans cell	GO:1903706	regulation of hemopoiesis
CL:0000242	Merkel cell	GO:0002685	regulation of leukocyte migration
CL:0000097	mast cell	GO:0033370	maintenance of protein location in mast cell secretory granule
CL:0000771	eosinophil	GO:0008015	blood circulation
CL:0001067	group 1 innate lymphoid cell	GO:0045087	innate immune response
CL:0000235	macrophage	GO:0009987	cellular process
CL:0000242	Merkel cell	GO:0002775	antimicrobial peptide production
CL:0001069	group 2 innate lymphoid cell	GO:0051674	localization of cell
CL:0000097	mast cell	GO:0050778	positive regulation of immune response
CL:0000097	mast cell	GO:0002821	positive regulation of adaptive immune response
CL:0000649	prickle cell	GO:0050896	response to stimulus
CL:0002337	keratinocyte stem cell	GO:1902622	regulation of neutrophil migration
CL:0000775	neutrophil	GO:0048870	cell motility
CL:0001067	group 1 innate lymphoid cell	GO:0044419	biological process involved in interspecies interaction between organisms
CL:0000775	neutrophil	GO:0001667	ameboidal-type cell migration
CL:0000242	Merkel cell	GO:0002690	positive regulation of leukocyte chemotaxis
CL:0000235	macrophage	GO:0006909	phagocytosis
CL:0001006	dermal dendritic cell	GO:0048870	cell motility
CL:0000097	mast cell	GO:2000145	regulation of cell motility
CL:0001006	dermal dendritic cell	GO:0051239	regulation of multicellular organismal process
CL:0000623	natural killer cell	GO:0001770	establishment of natural killer cell polarity
CL:0000236	B cell	GO:0002901	mature B cell apoptotic process
CL:0000540	neuron	GO:0098958	retrograde axonal transport of mitochondrion
CL:0000312	keratinocyte	GO:0065007	biological regulation
CL:0000649	prickle cell	GO:0071624	positive regulation of granulocyte chemotaxis
CL:0002457	epidermal Langerhans cell	GO:0050776	regulation of immune response
CL:0000540	neuron	GO:0003008	system process
CL:0000151	secretory cell	GO:0070560	protein secretion by platelet
CL:0000242	Merkel cell	GO:0015833	peptide transport
CL:0000151	secretory cell	GO:0033367	protein localization to mast cell secretory granule
CL:0000097	mast cell	GO:0044237	cellular metabolic process
CL:0000097	mast cell	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
CL:0000097	mast cell	GO:0006952	defense response
CL:0001071	group 3 innate lymphoid cell	GO:0006928	movement of cell or subcellular component
CL:0000815	regulatory T cell	GO:0048585	negative regulation of response to stimulus
CL:0000649	prickle cell	GO:0048518	positive regulation of biological process
CL:0000910	cytotoxic T cell	GO:0040011	locomotion
CL:0000540	neuron	GO:0021790	chemorepulsion of branchiomotor neuron axon in branchial arch mesenchyme
CL:0002337	keratinocyte stem cell	GO:0050920	regulation of chemotaxis
CL:0002457	epidermal Langerhans cell	GO:0045595	regulation of cell differentiation
CL:0001006	dermal dendritic cell	GO:0045580	regulation of T cell differentiation
CL:0002337	keratinocyte stem cell	GO:0040012	regulation of locomotion
CL:0000540	neuron	GO:0035637	multicellular organismal signaling
CL:0000151	secretory cell	GO:0051234	establishment of localization
CL:0002337	keratinocyte stem cell	GO:0030334	regulation of cell migration
CL:0000540	neuron	GO:1905054	calcium-induced calcium release activity involved in regulation of presynaptic cytosolic calcium ion concentration
CL:0002337	keratinocyte stem cell	GO:0098542	defense response to other organism
CL:0000540	neuron	GO:0008039	synaptic target recognition
CL:0000097	mast cell	GO:0033024	mast cell apoptotic process
CL:0000236	B cell	GO:0006928	movement of cell or subcellular component
CL:0001006	dermal dendritic cell	GO:0008152	metabolic process
CL:0000242	Merkel cell	GO:0071624	positive regulation of granulocyte chemotaxis
CL:0002337	keratinocyte stem cell	GO:0032879	regulation of localization
CL:0000649	prickle cell	GO:0006810	transport
CL:0000646	basal cell	GO:0032502	developmental process
CL:0000151	secretory cell	GO:0032940	secretion by cell
CL:0001006	dermal dendritic cell	GO:0016477	cell migration
CL:0000649	prickle cell	GO:0043207	response to external biotic stimulus
CL:0000097	mast cell	GO:0032101	regulation of response to external stimulus
CL:0000540	neuron	GO:0099582	neurotransmitter receptor activity involved in regulation of presynaptic cytosolic calcium ion concentration
CL:0002337	keratinocyte stem cell	GO:0006955	immune response
CL:0000540	neuron	GO:0071679	commissural neuron axon guidance
CL:0000649	prickle cell	GO:0051707	response to other organism
CL:0001006	dermal dendritic cell	GO:0050793	regulation of developmental process
CL:0001006	dermal dendritic cell	GO:0050863	regulation of T cell activation
CL:0000540	neuron	GO:0098934	retrograde dendritic transport
CL:0000815	regulatory T cell	GO:0050777	negative regulation of immune response
CL:0000540	neuron	GO:0048490	anterograde synaptic vesicle transport
CL:0000540	neuron	GO:0031290	retinal ganglion cell axon guidance
CL:0002457	epidermal Langerhans cell	GO:0006928	movement of cell or subcellular component
CL:0000097	mast cell	GO:0002660	positive regulation of peripheral tolerance induction
CL:0000540	neuron	GO:0008089	anterograde axonal transport
CL:0001006	dermal dendritic cell	GO:0050865	regulation of cell activation
CL:0000242	Merkel cell	GO:0008150	biological_process
CL:0001071	group 3 innate lymphoid cell	GO:0006952	defense response
CL:0002337	keratinocyte stem cell	GO:0071704	organic substance metabolic process
CL:0000540	neuron	GO:0140231	anterograde axonal transport of neurotransmitter receptor complex
CL:0000242	Merkel cell	GO:0006959	humoral immune response
CL:0000815	regulatory T cell	GO:0050789	regulation of biological process
CL:0000097	mast cell	GO:1903510	mucopolysaccharide metabolic process
CL:0000540	neuron	GO:0099533	positive regulation of presynaptic cytosolic calcium concentration
CL:0000097	mast cell	GO:0032501	multicellular organismal process
CL:0000540	neuron	GO:0097474	retinal cone cell apoptotic process
CL:0000540	neuron	GO:0036518	chemorepulsion of dopaminergic neuron axon
CL:0000312	keratinocyte	GO:0043170	macromolecule metabolic process
CL:0000312	keratinocyte	GO:0051179	localization
CL:0001071	group 3 innate lymphoid cell	GO:0043170	macromolecule metabolic process
CL:0000775	neutrophil	GO:0008150	biological_process
CL:0000540	neuron	GO:0007269	neurotransmitter secretion
CL:0001067	group 1 innate lymphoid cell	GO:0051674	localization of cell
CL:0000097	mast cell	GO:0006022	aminoglycan metabolic process
CL:0000540	neuron	GO:0097049	motor neuron apoptotic process
CL:0000242	Merkel cell	GO:0002688	regulation of leukocyte chemotaxis
CL:0000242	Merkel cell	GO:0006810	transport
CL:0002337	keratinocyte stem cell	GO:0002684	positive regulation of immune system process
CL:0000242	Merkel cell	GO:0043207	response to external biotic stimulus
CL:0000235	macrophage	GO:0051179	localization
CL:0000312	keratinocyte	GO:0009607	response to biotic stimulus
CL:0000236	B cell	GO:0002510	central B cell tolerance induction
CL:0000242	Merkel cell	GO:0051707	response to other organism
CL:0000151	secretory cell	GO:1904700	granulosa cell apoptotic process
CL:0002457	epidermal Langerhans cell	GO:0050789	regulation of biological process
CL:0001067	group 1 innate lymphoid cell	GO:0098542	defense response to other organism
CL:0000312	keratinocyte	GO:0042886	amide transport
CL:0000540	neuron	GO:0070593	dendrite self-avoidance
CL:0000312	keratinocyte	GO:0044419	biological process involved in interspecies interaction between organisms
CL:0002337	keratinocyte stem cell	GO:0046903	secretion
CL:0002337	keratinocyte stem cell	GO:0002440	production of molecular mediator of immune response
CL:0000242	Merkel cell	GO:0050896	response to stimulus
CL:0000815	regulatory T cell	GO:0002252	immune effector process
CL:0000540	neuron	GO:0070997	neuron death
CL:0000235	macrophage	GO:0051234	establishment of localization
CL:0001067	group 1 innate lymphoid cell	GO:0006955	immune response
CL:0001069	group 2 innate lymphoid cell	GO:0071704	organic substance metabolic process
CL:0000097	mast cell	GO:0032940	secretion by cell
CL:0002337	keratinocyte stem cell	GO:0051270	regulation of cellular component movement
CL:0000649	prickle cell	GO:0002776	antimicrobial peptide secretion
CL:0000910	cytotoxic T cell	GO:0002456	T cell mediated immunity
CL:0000097	mast cell	GO:0002819	regulation of adaptive immune response
CL:0000236	B cell	GO:0002252	immune effector process
CL:0000540	neuron	GO:0016199	axon midline choice point recognition
CL:0000649	prickle cell	GO:0048584	positive regulation of response to stimulus
CL:0001006	dermal dendritic cell	GO:0040011	locomotion
CL:0001067	group 1 innate lymphoid cell	GO:0071704	organic substance metabolic process
CL:0000151	secretory cell	GO:0033372	establishment of protease localization to mast cell secretory granule
CL:0000312	keratinocyte	GO:0040017	positive regulation of locomotion
CL:0000910	cytotoxic T cell	GO:0001906	cell killing
CL:0000097	mast cell	GO:1901135	carbohydrate derivative metabolic process
CL:0000151	secretory cell	GO:0140352	export from cell
CL:0000540	neuron	GO:1990049	retrograde neuronal dense core vesicle transport
CL:0000540	neuron	GO:0098964	anterograde dendritic transport of messenger ribonucleoprotein complex
CL:0000097	mast cell	GO:0002538	arachidonic acid metabolite production involved in inflammatory response
CL:0000545	T-helper 1 cell	GO:0032501	multicellular organismal process
CL:0000540	neuron	GO:0036480	neuron intrinsic apoptotic signaling pathway in response to oxidative stress
CL:0000242	Merkel cell	GO:0006950	response to stress
CL:0000540	neuron	GO:0008150	biological_process
CL:0000540	neuron	GO:0099641	anterograde axonal protein transport
CL:0000771	eosinophil	GO:0009987	cellular process
CL:0000815	regulatory T cell	GO:0002443	leukocyte mediated immunity
CL:0002457	epidermal Langerhans cell	GO:0051674	localization of cell
CL:0000097	mast cell	GO:0033367	protein localization to mast cell secretory granule
CL:0000540	neuron	GO:0099509	regulation of presynaptic cytosolic calcium ion concentration
CL:0000540	neuron	GO:0021786	branchiomotor neuron axon guidance in neural tube
CL:0000786	plasma cell	GO:0009987	cellular process
CL:0000242	Merkel cell	GO:0050794	regulation of cellular process
CL:0000236	B cell	GO:0002443	leukocyte mediated immunity
CL:0000540	neuron	GO:0036476	neuron death in response to hydrogen peroxide
CL:0000540	neuron	GO:0016191	synaptic vesicle uncoating
CL:0000235	macrophage	GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
CL:0000649	prickle cell	GO:2000145	regulation of cell motility
CL:0000242	Merkel cell	GO:0065007	biological regulation
CL:0000540	neuron	GO:0061585	hypocretin secretion, neurotransmission
CL:0001071	group 3 innate lymphoid cell	GO:0010467	gene expression
CL:0000235	macrophage	GO:0016477	cell migration
CL:0002337	keratinocyte stem cell	GO:0002790	peptide secretion
CL:0000649	prickle cell	GO:0090022	regulation of neutrophil chemotaxis
CL:0000097	mast cell	GO:1901576	organic substance biosynthetic process
CL:0001071	group 3 innate lymphoid cell	GO:0009605	response to external stimulus
CL:0000097	mast cell	GO:0048870	cell motility
CL:0000545	T-helper 1 cell	GO:0001667	ameboidal-type cell migration
CL:0002337	keratinocyte stem cell	GO:0048583	regulation of response to stimulus
CL:0000649	prickle cell	GO:0030335	positive regulation of cell migration
CL:0000540	neuron	GO:0099534	calcium ion binding involved in regulation of presynaptic cytosolic calcium ion concentration
CL:0000540	neuron	GO:0061535	glutamate secretion, neurotransmission
CL:0000649	prickle cell	GO:0002775	antimicrobial peptide production
CL:0000540	neuron	GO:0051935	glutamate reuptake
CL:0002337	keratinocyte stem cell	GO:0050921	positive regulation of chemotaxis
CL:0000540	neuron	GO:0099088	axonal transport of messenger ribonucleoprotein complex
CL:0000540	neuron	GO:0099585	release of sequestered calcium ion into presynaptic cytosol
CL:0000649	prickle cell	GO:0006952	defense response
CL:0000235	macrophage	GO:0051674	localization of cell
CL:0000097	mast cell	GO:0002652	regulation of tolerance induction dependent upon immune response
CL:0000097	mast cell	GO:0002685	regulation of leukocyte migration
CL:0000312	keratinocyte	GO:1902624	positive regulation of neutrophil migration
CL:0000242	Merkel cell	GO:0002687	positive regulation of leukocyte migration
CL:0002457	epidermal Langerhans cell	GO:0002828	regulation of type 2 immune response
CL:0000242	Merkel cell	GO:2000145	regulation of cell motility
CL:0000540	neuron	GO:0097155	fasciculation of sensory neuron axon
CL:0000540	neuron	GO:0099508	voltage-gated ion channel activity involved in regulation of presynaptic membrane potential
CL:0000540	neuron	GO:0099504	synaptic vesicle cycle
CL:0000540	neuron	GO:0007154	cell communication
CL:0000649	prickle cell	GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide
CL:0000649	prickle cell	GO:0032103	positive regulation of response to external stimulus
CL:0000236	B cell	GO:0050853	B cell receptor signaling pathway
CL:0000115	endothelial cell	GO:0097706	vascular endothelial cell response to oscillatory fluid shear stress
CL:0000312	keratinocyte	GO:0050920	regulation of chemotaxis
CL:0000242	Merkel cell	GO:0090022	regulation of neutrophil chemotaxis
CL:0000771	eosinophil	GO:0003013	circulatory system process
CL:0000312	keratinocyte	GO:0040012	regulation of locomotion
CL:0002337	keratinocyte stem cell	GO:0002376	immune system process
CL:0000540	neuron	GO:0014055	acetylcholine secretion, neurotransmission
CL:0000649	prickle cell	GO:2000147	positive regulation of cell motility
CL:0002337	keratinocyte stem cell	GO:0002682	regulation of immune system process
CL:0000312	keratinocyte	GO:0030334	regulation of cell migration
CL:0000236	B cell	GO:1990117	B cell receptor apoptotic signaling pathway
CL:0000151	secretory cell	GO:0006810	transport
CL:0000312	keratinocyte	GO:0098542	defense response to other organism
CL:0000540	neuron	GO:0099507	ligand-gated ion channel activity involved in regulation of presynaptic membrane potential
CL:0002337	keratinocyte stem cell	GO:0071702	organic substance transport
CL:0001071	group 3 innate lymphoid cell	GO:0098542	defense response to other organism
CL:0000540	neuron	GO:0051583	dopamine uptake involved in synaptic transmission
CL:0000815	regulatory T cell	GO:0009987	cellular process
CL:0000623	natural killer cell	GO:0002228	natural killer cell mediated immunity
CL:0000540	neuron	GO:0009987	cellular process
CL:0000545	T-helper 1 cell	GO:0008152	metabolic process
CL:0000312	keratinocyte	GO:0071705	nitrogen compound transport
CL:0000115	endothelial cell	GO:0097705	vascular endothelial cell response to pulsatile fluid shear stress
CL:0000545	T-helper 1 cell	GO:0016477	cell migration
CL:0000910	cytotoxic T cell	GO:0001913	T cell mediated cytotoxicity
CL:0000540	neuron	GO:0098972	anterograde dendritic transport of mitochondrion
CL:0000097	mast cell	GO:0002654	positive regulation of tolerance induction dependent upon immune response
CL:0000097	mast cell	GO:0051272	positive regulation of cellular component movement
CL:0000312	keratinocyte	GO:0006955	immune response
CL:0002337	keratinocyte stem cell	GO:0048522	positive regulation of cellular process
CL:0000540	neuron	GO:0016080	synaptic vesicle targeting
CL:0000540	neuron	GO:0051402	neuron apoptotic process
CL:0000236	B cell	GO:0008150	biological_process
CL:0000540	neuron	GO:0007413	axonal fasciculation
CL:0000540	neuron	GO:0099087	anterograde axonal transport of messenger ribonucleoprotein complex
CL:0000312	keratinocyte	GO:0008152	metabolic process
CL:0000235	macrophage	GO:0040011	locomotion
CL:0001006	dermal dendritic cell	GO:2000026	regulation of multicellular organismal development
CL:0000540	neuron	GO:0036516	chemoattraction of dopaminergic neuron axon
CL:0000623	natural killer cell	GO:0010467	gene expression
CL:0000097	mast cell	GO:0044249	cellular biosynthetic process
CL:0000540	neuron	GO:0016200	synaptic target attraction
CL:0000242	Merkel cell	GO:2000147	positive regulation of cell motility
CL:0000623	natural killer cell	GO:0009605	response to external stimulus
CL:0000540	neuron	GO:0016079	synaptic vesicle exocytosis
CL:0000910	cytotoxic T cell	GO:0001909	leukocyte mediated cytotoxicity
CL:0000771	eosinophil	GO:0051179	localization
CL:0000623	natural killer cell	GO:0032501	multicellular organismal process
CL:0000775	neutrophil	GO:0001781	neutrophil apoptotic process
CL:0000097	mast cell	GO:0008150	biological_process
CL:0000649	prickle cell	GO:0050789	regulation of biological process
CL:0000242	Merkel cell	GO:0044419	biological process involved in interspecies interaction between organisms
CL:0000649	prickle cell	GO:0002685	regulation of leukocyte migration
CL:0000540	neuron	GO:0036466	synaptic vesicle recycling via endosome
CL:0001067	group 1 innate lymphoid cell	GO:0002376	immune system process
CL:0000540	neuron	GO:0099626	voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels
CL:0000097	mast cell	GO:0002690	positive regulation of leukocyte chemotaxis
CL:0000775	neutrophil	GO:0006928	movement of cell or subcellular component
CL:0000097	mast cell	GO:0002532	production of molecular mediator involved in inflammatory response
CL:0000815	regulatory T cell	GO:0048583	regulation of response to stimulus
CL:0000097	mast cell	GO:0033372	establishment of protease localization to mast cell secretory granule
CL:0000312	keratinocyte	GO:0046903	secretion
CL:0000540	neuron	GO:0140238	presynaptic endocytosis
CL:0000242	Merkel cell	GO:0040017	positive regulation of locomotion
CL:0000151	secretory cell	GO:0002576	platelet degranulation
CL:0000097	mast cell	GO:0050794	regulation of cellular process
CL:0001006	dermal dendritic cell	GO:0006928	movement of cell or subcellular component
CL:0000649	prickle cell	GO:0010467	gene expression
CL:0000540	neuron	GO:0098810	neurotransmitter reuptake
CL:0002337	keratinocyte stem cell	GO:0032101	regulation of response to external stimulus
CL:0000097	mast cell	GO:0002828	regulation of type 2 immune response
CL:0000312	keratinocyte	GO:0051270	regulation of cellular component movement
CL:0000649	prickle cell	GO:0009605	response to external stimulus
CL:0001069	group 2 innate lymphoid cell	GO:0009607	response to biotic stimulus
CL:0000623	natural killer cell	GO:0048870	cell motility
CL:0000910	cytotoxic T cell	GO:0048870	cell motility
CL:0000540	neuron	GO:0048791	calcium ion-regulated exocytosis of neurotransmitter
CL:0000545	T-helper 1 cell	GO:0040011	locomotion
CL:0000242	Merkel cell	GO:0050789	regulation of biological process
CL:0000097	mast cell	GO:0002688	regulation of leukocyte chemotaxis
CL:0000649	prickle cell	GO:0051272	positive regulation of cellular component movement
CL:0000151	secretory cell	GO:0033370	maintenance of protein location in mast cell secretory granule
CL:0001069	group 2 innate lymphoid cell	GO:0001667	ameboidal-type cell migration
CL:0000540	neuron	GO:0036514	dopaminergic neuron axon guidance
CL:0000151	secretory cell	GO:0033024	mast cell apoptotic process
CL:0002457	epidermal Langerhans cell	GO:0048583	regulation of response to stimulus
CL:0000646	basal cell	GO:0051301	cell division
CL:0000540	neuron	GO:0150008	bulk synaptic vesicle endocytosis
CL:0000815	regulatory T cell	GO:1902482	regulatory T cell apoptotic process
CL:0001071	group 3 innate lymphoid cell	GO:0071704	organic substance metabolic process
CL:0002337	keratinocyte stem cell	GO:0009607	response to biotic stimulus
CL:0000815	regulatory T cell	GO:0002376	immune system process
CL:0000236	B cell	GO:0002514	B cell tolerance induction
CL:0000097	mast cell	GO:0002349	histamine production involved in inflammatory response
CL:0000236	B cell	GO:0009987	cellular process
CL:0000540	neuron	GO:1905056	P-type calcium transporter activity involved in regulation of presynaptic cytosolic calcium ion concentration
CL:0000242	Merkel cell	GO:0043170	macromolecule metabolic process
CL:0000097	mast cell	GO:0002687	positive regulation of leukocyte migration
CL:0000151	secretory cell	GO:0033364	mast cell secretory granule organization
CL:0000540	neuron	GO:0099520	ion antiporter activity involved in regulation of presynaptic membrane potential
CL:0000540	neuron	GO:0097156	fasciculation of motor neuron axon
CL:0000815	regulatory T cell	GO:0065007	biological regulation
CL:0000910	cytotoxic T cell	GO:0002252	immune effector process
CL:0000623	natural killer cell	GO:0002252	immune effector process
CL:0000623	natural killer cell	GO:0002519	natural killer cell tolerance induction
CL:0000236	B cell	GO:0019724	B cell mediated immunity
CL:0000649	prickle cell	GO:0098542	defense response to other organism
CL:0000540	neuron	GO:0050877	nervous system process
CL:0002457	epidermal Langerhans cell	GO:0051249	regulation of lymphocyte activation
CL:0002337	keratinocyte stem cell	GO:0051234	establishment of localization
CL:0000771	eosinophil	GO:0016477	cell migration
CL:0002457	epidermal Langerhans cell	GO:0002376	immune system process
CL:0002337	keratinocyte stem cell	GO:0071622	regulation of granulocyte chemotaxis
CL:0000312	keratinocyte	GO:0048518	positive regulation of biological process
CL:0001006	dermal dendritic cell	GO:0045595	regulation of cell differentiation
CL:0000786	plasma cell	GO:0016477	cell migration
CL:0000312	keratinocyte	GO:0002790	peptide secretion
CL:0002337	keratinocyte stem cell	GO:1902624	positive regulation of neutrophil migration
CL:0000312	keratinocyte	GO:0002440	production of molecular mediator of immune response
CL:0000242	Merkel cell	GO:0042886	amide transport
CL:0000649	prickle cell	GO:0002690	positive regulation of leukocyte chemotaxis
CL:0002457	epidermal Langerhans cell	GO:0071704	organic substance metabolic process
CL:0001069	group 2 innate lymphoid cell	GO:0008152	metabolic process
CL:0000540	neuron	GO:0099640	axo-dendritic protein transport
CL:0000151	secretory cell	GO:0033368	protease localization to mast cell secretory granule
CL:0000097	mast cell	GO:0006811	ion transport
CL:0000646	basal cell	GO:0017145	stem cell division
CL:0002457	epidermal Langerhans cell	GO:0065007	biological regulation
CL:0000236	B cell	GO:0002516	B cell deletion
CL:0001069	group 2 innate lymphoid cell	GO:0032501	multicellular organismal process
CL:0001069	group 2 innate lymphoid cell	GO:0016477	cell migration
CL:0000540	neuron	GO:0099521	ATPase coupled ion transmembrane transporter activity involved in regulation of presynaptic membrane potential
CL:0000312	keratinocyte	GO:0050921	positive regulation of chemotaxis
CL:0000540	neuron	GO:0140237	translation at presynapse, modulating chemical synaptic transmission
CL:0000097	mast cell	GO:0002539	prostaglandin production involved in inflammatory response
CL:0000312	keratinocyte	GO:0002776	antimicrobial peptide secretion
CL:0000242	Merkel cell	GO:0050920	regulation of chemotaxis
CL:0000540	neuron	GO:0019896	axonal transport of mitochondrion
CL:0000910	cytotoxic T cell	GO:0002443	leukocyte mediated immunity
CL:0001067	group 1 innate lymphoid cell	GO:0009607	response to biotic stimulus
CL:0000097	mast cell	GO:0006810	transport
CL:0000242	Merkel cell	GO:0098542	defense response to other organism
CL:0000649	prickle cell	GO:0015833	peptide transport
CL:0000097	mast cell	GO:0006812	cation transport
CL:0000540	neuron	GO:1905743	calcium import into the mitochondrion involved in negative regulation of presynaptic cytosolic calcium concentration
CL:0000786	plasma cell	GO:0001667	ameboidal-type cell migration
CL:0000623	natural killer cell	GO:0008150	biological_process
CL:0001006	dermal dendritic cell	GO:0019882	antigen processing and presentation
CL:0001071	group 3 innate lymphoid cell	GO:0006950	response to stress
CL:0000312	keratinocyte	GO:0002376	immune system process
CL:0000540	neuron	GO:0099124	axonal dopamine secretion
CL:0000242	Merkel cell	GO:0006955	immune response
CL:0001071	group 3 innate lymphoid cell	GO:0002376	immune system process
CL:0000097	mast cell	GO:0033364	mast cell secretory granule organization
CL:0000545	T-helper 1 cell	GO:0002456	T cell mediated immunity
CL:0000312	keratinocyte	GO:0071702	organic substance transport
CL:0002337	keratinocyte stem cell	GO:0090023	positive regulation of neutrophil chemotaxis
CL:0000649	prickle cell	GO:0002687	positive regulation of leukocyte migration
CL:0000815	regulatory T cell	GO:0051179	localization
CL:0000815	regulatory T cell	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
CL:0000151	secretory cell	GO:1902484	Sertoli cell apoptotic process
CL:0001067	group 1 innate lymphoid cell	GO:0001667	ameboidal-type cell migration
CL:0002457	epidermal Langerhans cell	GO:0009987	cellular process
CL:0000540	neuron	GO:0021793	chemorepulsion of branchiomotor axon
CL:0000540	neuron	GO:0099577	regulation of translation at presynapse, modulating synaptic transmission
CL:0000623	natural killer cell	GO:0043207	response to external biotic stimulus
CL:0000775	neutrophil	GO:0003008	system process
CL:0001006	dermal dendritic cell	GO:0050789	regulation of biological process
