WARNING - No valid ID provided for 'FMA:17561', label: fundus of uterus, user_label: Fundus of uterus
WARNING - No valid ID provided for '', label: uterine dendritic cells, user_label: 
WARNING - No valid ID provided for 'FMA:17561', label: fundus of uterus, user_label: Fundus of uterus
WARNING - No valid ID provided for '', label: left posterior fundus of uterus, user_label: 
WARNING - No valid ID provided for '', label: B cell, user_label: 
WARNING - No valid ID provided for 'FMA:17561', label: fundus of uterus, user_label: Fundus of uterus
WARNING - No valid ID provided for '', label: left posterior fundus of uterus, user_label: 
WARNING - No valid ID provided for '', label: T cell, user_label: 
WARNING - No valid ID provided for 'FMA:17561', label: fundus of uterus, user_label: Fundus of uterus
WARNING - No valid ID provided for '', label: left posterior fundus of uterus, user_label: 
WARNING - No valid ID provided for '', label: innate lymphoid cell, user_label: 
WARNING - No valid ID provided for 'FMA:17561', label: fundus of uterus, user_label: Fundus of uterus
WARNING - No valid ID provided for '', label: left posterior fundus of uterus, user_label: 
WARNING - No valid ID provided for '', label: mast cell, user_label: 
WARNING - No valid ID provided for 'FMA:17561', label: fundus of uterus, user_label: Fundus of uterus
WARNING - No valid ID provided for '', label: left posterior fundus of uterus, user_label: 
WARNING - No valid ID provided for '', label: endothelial cell, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: mesothelium of the uterine serosa, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: connective tissue of the uterine serosa, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: outer uterine myometrium, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: inner uterine myometrium, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: endothelial cell, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: SOX9+ epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: ciliated epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: glandular epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: luminal epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: stromal cell, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: perivascular support cell, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: macrophage, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: lymphocyte, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine natural killer cell, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine dendritic cells, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: B cell, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: T cell, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: innate lymphoid cell, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: mast cell, user_label: 
WARNING - No valid ID provided for '', label: right anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: endothelial cell, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: mesothelium of the uterine serosa, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: connective tissue of the uterine serosa, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: outer uterine myometrium, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: inner uterine myometrium, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: endothelial cell, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: SOX9+ epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: ciliated epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: glandular epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: luminal epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: stromal cell, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: perivascular support cell, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: macrophage, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: lymphocyte, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine natural killer cell, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine dendritic cells, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: B cell, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: T cell, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: innate lymphoid cell, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: mast cell, user_label: 
WARNING - No valid ID provided for '', label: central anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: endothelial cell, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: mesothelium of the uterine serosa, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: connective tissue of the uterine serosa, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: outer uterine myometrium, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: inner uterine myometrium, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: endothelial cell, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: SOX9+ epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: ciliated epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: glandular epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: luminal epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: stromal cell, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: perivascular support cell, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: macrophage, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: lymphocyte, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine natural killer cell, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine dendritic cells, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: B cell, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: T cell, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: innate lymphoid cell, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: mast cell, user_label: 
WARNING - No valid ID provided for '', label: left anterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: endothelial cell, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: mesothelium of the uterine serosa, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: connective tissue of the uterine serosa, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: outer uterine myometrium, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: inner uterine myometrium, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: endothelial cell, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: SOX9+ epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: ciliated epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: glandular epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: luminal epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: stromal cell, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: perivascular support cell, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: macrophage, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: lymphocyte, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine natural killer cell, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine dendritic cells, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: B cell, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: T cell, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: innate lymphoid cell, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: mast cell, user_label: 
WARNING - No valid ID provided for '', label: right posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: endothelial cell, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: mesothelium of the uterine serosa, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: connective tissue of the uterine serosa, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: outer uterine myometrium, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: inner uterine myometrium, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: endothelial cell, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: SOX9+ epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: ciliated epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: glandular epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: luminal epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: stromal cell, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: perivascular support cell, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: macrophage, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: lymphocyte, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine natural killer cell, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine dendritic cells, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: B cell, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: T cell, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: innate lymphoid cell, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: mast cell, user_label: 
WARNING - No valid ID provided for '', label: central posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: endothelial cell, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: mesothelium of the uterine serosa, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: connective tissue of the uterine serosa, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: outer uterine myometrium, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: inner uterine myometrium, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: endothelial cell, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: SOX9+ epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: ciliated epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: glandular epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: luminal epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: stromal cell, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine smooth muscle cell, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: perivascular support cell, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: macrophage, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: lymphocyte, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine natural killer cell, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: uterine dendritic cells, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: B cell, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: T cell, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: innate lymphoid cell, user_label: 
WARNING - No valid ID provided for '', label: left posterior body of uterus, user_label: 
WARNING - No valid ID provided for '', label: mast cell, user_label: 
WARNING - No valid ID provided for '', label: lower uterine segment, user_label: 
WARNING - No valid ID provided for '', label: right posterior lower uterine segment, user_label: 
WARNING - No valid ID provided for '', label: endothelial cell, user_label: 
WARNING - No valid ID provided for '', label: lower uterine segment, user_label: 
WARNING - No valid ID provided for '', label: endocervical epithelial cell, user_label: 
WARNING - No valid ID provided for '', label: internal cervical os, user_label: 
WARNING - No valid ID provided for '', label: endocervical stroma, user_label: 
WARNING - No valid ID provided for '', label: external cervical os, user_label: 
WARNING - No valid ID provided for '', label: ectocervical epithelium, user_label: 
WARNING - No valid ID provided for '', label: ectocervical stroma, user_label: 
WARNING - No valid ID provided for '', label: cervical mucosa, user_label: 
WARNING - No valid ID provided for '', label: cervical os, user_label: 
WARNING - No valid ID provided for '', label: cervical squamo-columnar junction, user_label: 
WARNING - No valid ID provided for 'FMA:70195', label: artery of round ligament of uterus, user_label: artery of round ligament of uterus
WARNING - No valid ID provided for '', label: superior uterine vein, user_label: 
WARNING - No valid ID provided for '', label: inferior uterine vein, user_label: 
WARNING - Different labels found for UBERON:0008889. Uberongraph: uterine venous plexus ; ASCT+b table: uterine venous plexsus
WARNING - Different labels found for UBERON:0022355. Uberongraph: basal layer of endometrium ; ASCT+b table: stratum basalis
WARNING - Different labels found for UBERON:0022356. Uberongraph: outer layer of endometrium ; ASCT+b table: statum functionalis
