Cell type	Cell type label	Behavior	Behavior label
CL:0000623	natural killer cell	GO:0009605	response to external stimulus
CL:0000097	mast cell	GO:2000145	regulation of cell motility
CL:0000576	monocyte	GO:0009987	cellular process
CL:0000576	monocyte	GO:0002274	myeloid leukocyte activation
CL:0000097	mast cell	GO:0002685	regulation of leukocyte migration
CL:0000814	mature NK T cell	GO:0006955	immune response
CL:0000576	monocyte	GO:0006928	movement of cell or subcellular component
CL:1000698	kidney resident macrophage	GO:0048870	cell motility
CL:0000990	conventional dendritic cell	GO:0032501	multicellular organismal process
CL:0000648	kidney granular cell	GO:0050886	endocrine process
CL:0000990	conventional dendritic cell	GO:0045580	regulation of T cell differentiation
CL:0001056	dendritic cell, human	GO:2000026	regulation of multicellular organismal development
CL:0000623	natural killer cell	GO:0010467	gene expression
CL:0000910	cytotoxic T cell	GO:0002250	adaptive immune response
CL:0001058	plasmacytoid dendritic cell, human	GO:1902105	regulation of leukocyte differentiation
CL:0001058	plasmacytoid dendritic cell, human	GO:2000026	regulation of multicellular organismal development
CL:0000648	kidney granular cell	GO:0007154	cell communication
CL:0000084	T cell	GO:0048870	cell motility
CL:0000910	cytotoxic T cell	GO:0002449	lymphocyte mediated immunity
CL:0000236	B cell	GO:0050853	B cell receptor signaling pathway
CL:0000576	monocyte	GO:0001773	myeloid dendritic cell activation
CL:0000648	kidney granular cell	GO:0001990	regulation of systemic arterial blood pressure by hormone
CL:0000097	mast cell	GO:0002690	positive regulation of leukocyte chemotaxis
CL:0000097	mast cell	GO:1901566	organonitrogen compound biosynthetic process
CL:0000990	conventional dendritic cell	GO:0050794	regulation of cellular process
CL:0000084	T cell	GO:0002458	peripheral T cell tolerance induction
CL:0000576	monocyte	GO:0032502	developmental process
CL:0000236	B cell	GO:0002421	B cell antigen processing and presentation following pinocytosis
CL:0000648	kidney granular cell	GO:0033036	macromolecule localization
CL:0000576	monocyte	GO:0048534	hematopoietic or lymphoid organ development
CL:0000910	cytotoxic T cell	GO:0048870	cell motility
CL:0000084	T cell	GO:0002457	T cell antigen processing and presentation
CL:0000875	non-classical monocyte	GO:0030154	cell differentiation
CL:0001058	plasmacytoid dendritic cell, human	GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
CL:0001056	dendritic cell, human	GO:0001816	cytokine production
CL:0000236	B cell	GO:0051179	localization
CL:0000648	kidney granular cell	GO:0003008	system process
CL:0000786	plasma cell	GO:0016477	cell migration
CL:0000623	natural killer cell	GO:0051179	localization
CL:0001056	dendritic cell, human	GO:0009987	cellular process
CL:0000084	T cell	GO:0002456	T cell mediated immunity
CL:0000910	cytotoxic T cell	GO:0006928	movement of cell or subcellular component
CL:0001056	dendritic cell, human	GO:0050863	regulation of T cell activation
CL:0000097	mast cell	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
CL:0000875	non-classical monocyte	GO:0032501	multicellular organismal process
CL:0001058	plasmacytoid dendritic cell, human	GO:0050863	regulation of T cell activation
CL:0000097	mast cell	GO:0002349	histamine production involved in inflammatory response
CL:0000097	mast cell	GO:0043170	macromolecule metabolic process
CL:0000097	mast cell	GO:0006950	response to stress
CL:0000875	non-classical monocyte	GO:0006928	movement of cell or subcellular component
CL:0000990	conventional dendritic cell	GO:0002682	regulation of immune system process
CL:0000786	plasma cell	GO:0051179	localization
CL:0000097	mast cell	GO:0030210	heparin biosynthetic process
CL:0000623	natural killer cell	GO:0001770	establishment of natural killer cell polarity
CL:0000576	monocyte	GO:0048869	cellular developmental process
CL:0000097	mast cell	GO:0002688	regulation of leukocyte chemotaxis
CL:0000875	non-classical monocyte	GO:0051674	localization of cell
CL:0000875	non-classical monocyte	GO:0007275	multicellular organism development
CL:0000097	mast cell	GO:0051608	histamine transport
CL:0000990	conventional dendritic cell	GO:0050789	regulation of biological process
CL:0000775	neutrophil	GO:0003008	system process
CL:0000814	mature NK T cell	GO:0038023	signaling receptor activity
CL:0000084	T cell	GO:0016477	cell migration
CL:0001056	dendritic cell, human	GO:0040011	locomotion
CL:0000236	B cell	GO:0001667	ameboidal-type cell migration
CL:0000648	kidney granular cell	GO:0065008	regulation of biological quality
CL:0000648	kidney granular cell	GO:0008104	protein localization
CL:0001056	dendritic cell, human	GO:0045619	regulation of lymphocyte differentiation
CL:0000097	mast cell	GO:0050921	positive regulation of chemotaxis
CL:0001056	dendritic cell, human	GO:0008152	metabolic process
CL:0000875	non-classical monocyte	GO:0030097	hemopoiesis
CL:0000875	non-classical monocyte	GO:1903131	mononuclear cell differentiation
CL:0001056	dendritic cell, human	GO:0019882	antigen processing and presentation
CL:0001058	plasmacytoid dendritic cell, human	GO:0045619	regulation of lymphocyte differentiation
CL:0000910	cytotoxic T cell	GO:0043316	cytotoxic T cell degranulation
CL:0000648	kidney granular cell	GO:0023052	signaling
CL:0000910	cytotoxic T cell	GO:0001913	T cell mediated cytotoxicity
CL:0000084	T cell	GO:0033379	maintenance of protease location in T cell secretory granule
CL:0001058	plasmacytoid dendritic cell, human	GO:0016477	cell migration
CL:0000097	mast cell	GO:0048870	cell motility
CL:0000990	conventional dendritic cell	GO:2000026	regulation of multicellular organismal development
CL:0000236	B cell	GO:0002376	immune system process
CL:0001058	plasmacytoid dendritic cell, human	GO:0051249	regulation of lymphocyte activation
CL:0000623	natural killer cell	GO:0008150	biological_process
CL:0000786	plasma cell	GO:0001667	ameboidal-type cell migration
CL:0000236	B cell	GO:0009987	cellular process
CL:0000648	kidney granular cell	GO:0006810	transport
CL:0000623	natural killer cell	GO:0070246	natural killer cell apoptotic process
CL:0000576	monocyte	GO:0002376	immune system process
CL:0000236	B cell	GO:0001783	B cell apoptotic process
CL:0000775	neutrophil	GO:0008015	blood circulation
CL:0000576	monocyte	GO:0002521	leukocyte differentiation
CL:0000097	mast cell	GO:0030203	glycosaminoglycan metabolic process
CL:0000814	mature NK T cell	GO:0003674	molecular_function
CL:0000648	kidney granular cell	GO:0051179	localization
CL:0000990	conventional dendritic cell	GO:0051239	regulation of multicellular organismal process
CL:0000097	mast cell	GO:1901135	carbohydrate derivative metabolic process
CL:0000097	mast cell	GO:0030334	regulation of cell migration
CL:0000990	conventional dendritic cell	GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
CL:0000097	mast cell	GO:1901137	carbohydrate derivative biosynthetic process
CL:0000097	mast cell	GO:0030202	heparin metabolic process
CL:0000084	T cell	GO:0001667	ameboidal-type cell migration
CL:0000990	conventional dendritic cell	GO:0050865	regulation of cell activation
CL:0000814	mature NK T cell	GO:0009987	cellular process
CL:0000648	kidney granular cell	GO:0009306	protein secretion
CL:0000623	natural killer cell	GO:0040011	locomotion
CL:0001056	dendritic cell, human	GO:0001667	ameboidal-type cell migration
CL:1000698	kidney resident macrophage	GO:0006909	phagocytosis
CL:0000910	cytotoxic T cell	GO:0002443	leukocyte mediated immunity
CL:0000814	mature NK T cell	GO:0006928	movement of cell or subcellular component
CL:0000910	cytotoxic T cell	GO:0002252	immune effector process
CL:0001058	plasmacytoid dendritic cell, human	GO:0001667	ameboidal-type cell migration
CL:0000775	neutrophil	GO:0051179	localization
CL:0000990	conventional dendritic cell	GO:0008150	biological_process
CL:0000814	mature NK T cell	GO:0006952	defense response
CL:0000786	plasma cell	GO:0040011	locomotion
CL:0000097	mast cell	GO:0050896	response to stimulus
CL:0001056	dendritic cell, human	GO:0002376	immune system process
CL:0001058	plasmacytoid dendritic cell, human	GO:0001816	cytokine production
CL:0000097	mast cell	GO:0071704	organic substance metabolic process
CL:0001058	plasmacytoid dendritic cell, human	GO:0002376	immune system process
CL:0000084	T cell	GO:0033380	granzyme B localization to T cell secretory granule
CL:0000990	conventional dendritic cell	GO:0045619	regulation of lymphocyte differentiation
CL:0001058	plasmacytoid dendritic cell, human	GO:0002694	regulation of leukocyte activation
CL:0000648	kidney granular cell	GO:0008015	blood circulation
CL:0000875	non-classical monocyte	GO:0048522	positive regulation of cellular process
