WARNING - Different labels found for UBERON:0000052. Uberongraph: fornix of brain ; ASCT+b table: fornix
WARNING - Different labels found for UBERON:0001717. Uberongraph: spinal nucleus of trigeminal nerve ; ASCT+b table: spinal trigeminal nucleus
WARNING - Different labels found for UBERON:0001890. Uberongraph: forebrain ; ASCT+b table: forebrain (prosencephalon)
WARNING - Different labels found for UBERON:0001891. Uberongraph: midbrain ; ASCT+b table: midbrain (mesencephalon)
WARNING - Different labels found for UBERON:0002022. Uberongraph: insula ; ASCT+b table: insular lobe
WARNING - Different labels found for UBERON:0002023. Uberongraph: claustrum of brain ; ASCT+b table: claustrum
WARNING - Different labels found for UBERON:0002028. Uberongraph: hindbrain ; ASCT+b table: hindbrain (rhombencephalon)
WARNING - Different labels found for UBERON:0002151. Uberongraph: pontine nuclear group ; ASCT+b table: basilar part of pons (Pontine nuclei)
WARNING - Different labels found for UBERON:0002285. Uberongraph: telencephalic ventricle ; ASCT+b table: lateral ventricles
WARNING - Different labels found for UBERON:0002289. Uberongraph: midbrain cerebral aqueduct ; ASCT+b table: ventricle of midbrain (cerebral aqueduct)
WARNING - Different labels found for UBERON:0002291. Uberongraph: central canal of spinal cord ; ASCT+b table: central canal of medulla oblongata
WARNING - Different labels found for UBERON:0002476. Uberongraph: lateral globus pallidus ; ASCT+b table: globus pallidus, external
WARNING - Different labels found for UBERON:0002477. Uberongraph: medial globus pallidus ; ASCT+b table: globus pallidus, internal
WARNING - Different labels found for UBERON:0002590. Uberongraph: prepyriform area ; ASCT+b table: prepiriform region
WARNING - Different labels found for UBERON:0002624. Uberongraph: orbital part of inferior frontal gyrus ; ASCT+b table: inferior frontal gyrus, orbital part
WARNING - Different labels found for UBERON:0002629. Uberongraph: triangular part of inferior frontal gyrus ; ASCT+b table: inferior frontal gyrus, triangular part
WARNING - Different labels found for UBERON:0002644. Uberongraph: intermediate orbital gyrus ; ASCT+b table: anterior intermediate orbital gyrus
WARNING - Different labels found for UBERON:0002707. Uberongraph: corticospinal tract ; ASCT+b table: pyramidal tract
WARNING - Different labels found for UBERON:0002738. Uberongraph: isthmus of cingulate gyrus ; ASCT+b table: cingulo-parahippocampal isthmus
WARNING - Different labels found for UBERON:0002740. Uberongraph: posterior cingulate gyrus ; ASCT+b table: cingulate gyrus, caudal (posterior) part
WARNING - Different labels found for UBERON:0002756. Uberongraph: anterior cingulate gyrus ; ASCT+b table: cingulate gyrus, rostral (anterior) part
WARNING - Different labels found for UBERON:0002980. Uberongraph: opercular part of inferior frontal gyrus ; ASCT+b table: inferior frontal gyrus, opercular part
WARNING - Different labels found for UBERON:0003020. Uberongraph: subcallosal area ; ASCT+b table: subcallosal gyrus (parolfactory gyrus)
WARNING - Different labels found for UBERON:0003040. Uberongraph: central gray substance of midbrain ; ASCT+b table: periaqueductal gray substance
WARNING - Different labels found for UBERON:0004086. Uberongraph: brain ventricle ; ASCT+b table: ventricles of hindbrain
WARNING - Different labels found for UBERON:0004671. Uberongraph: gyrus rectus ; ASCT+b table: gyrus rectus (straight gyrus)
WARNING - Different labels found for UBERON:0004672. Uberongraph: posterior horn lateral ventricle ; ASCT+b table: posterior horn of lateral ventricle
WARNING - Different labels found for UBERON:0004725. Uberongraph: piriform cortex ; ASCT+b table: lateral olfactory gyrus
WARNING - Different labels found for UBERON:0006083. Uberongraph: perirhinal cortex ; ASCT+b table: perirhinal gyrus ( rostral part of FuGt)
WARNING - Different labels found for UBERON:0006091. Uberongraph: inferior horn of the lateral ventricle ; ASCT+b table: inferior horn of lateral ventricle
WARNING - Different labels found for UBERON:0006092. Uberongraph: cuneus cortex ; ASCT+b table: cuneus
WARNING - Different labels found for UBERON:0006093. Uberongraph: precuneus cortex ; ASCT+b table: precuneus
WARNING - Different labels found for UBERON:0007228. Uberongraph: vestibular nucleus ; ASCT+b table: vestibular nuclei
WARNING - Different labels found for UBERON:0007634. Uberongraph: parabrachial nucleus ; ASCT+b table: parabrachial nuclei
WARNING - Different labels found for UBERON:0007769. Uberongraph: medial preoptic region ; ASCT+b table: preoptic region
WARNING - Different labels found for UBERON:0010011. Uberongraph: collection of basal ganglia ; ASCT+b table: basal nuclei (basal ganglia)
WARNING - Different labels found for UBERON:0022364. Uberongraph: occipital fusiform gyrus ; ASCT+b table: occipitotemporal (fusiform) gyrus, temporal part
WARNING - Different labels found for UBERON:0024151. Uberongraph: tegmentum ; ASCT+b table: tegmentum of the medulla
WARNING - Different labels found for UBERON:0034891. Uberongraph: insular cortex ; ASCT+b table: long insular gyri
WARNING - Different labels found for UBERON:0035932. Uberongraph: anterior segment of paracentral lobule ; ASCT+b table: paracentral lobule, rostral part
WARNING - No valid ID provided for 'PCL:0015082', label: Exc L3 THEMIS ENPEP, user_label: Exc L3 THEMIS ENPEP primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015083', label: Exc L3-5 RORB TNNT2, user_label: Exc L3-5 RORB TNNT2 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015084', label: Exc L3-5 RORB LAMA4, user_label: Exc L3-5 RORB LAMA4 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015085', label: Exc L5 THEMIS VILL, user_label: Exc L5 THEMIS VILL primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015086', label: Exc L3 RORB OTOGL, user_label: Exc L3 RORB OTOGL primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015087', label: Exc L3-5 RORB LINC01202, user_label: Exc L3-5 RORB LINC01202 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015088', label: Exc L5 THEMIS SLC22A18, user_label: Exc L5 THEMIS SLC22A18 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015089', label: Exc L5-6 THEMIS TNFAIP6, user_label: Exc L5-6 THEMIS TNFAIP6 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015090', label: Exc L3-5 RORB LNX2, user_label: Exc L3-5 RORB LNX2 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015091', label: Exc L3-5 RORB RPRM, user_label: Exc L3-5 RORB RPRM primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015092', label: Exc L5 RORB MED8, user_label: Exc L5 RORB MED8 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015093', label: Exc L5 THEMIS FGF10, user_label: Exc L5 THEMIS FGF10 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015094', label: Exc L6 THEMIS LINC00343, user_label: Exc L6 THEMIS LINC00343 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015095', label: Exc L6 THEMIS SLN, user_label: Exc L6 THEMIS SLN primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015096', label: Exc L6 THEMIS SNTG2, user_label: Exc L6 THEMIS SNTG2 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015097', label: Exc L5-6 THEMIS SMYD1 (L6 IT Car3), user_label: Exc L5-6 THEMIS SMYD1 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015098', label: Exc L5-6 FEZF2 OR1L8, user_label: Exc L5-6 FEZF2 OR1L8 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015099', label: Exc L5 THEMIS LINC01116, user_label: Exc L5 THEMIS LINC01116 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015100', label: Exc L5 THEMIS RGPD6, user_label: Exc L5 THEMIS RGPD6 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015101', label: Exc L5-6 FEZF2 C9orf135-AS1, user_label: Exc L5-6 FEZF2 C9orf135-AS1 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015102', label: Exc L5-6 FEZF2 FILIP1L, user_label: Exc L5-6 FEZF2 FILIP1L primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015103', label: Exc L5-6 FEZF2 SH2D1B, user_label: Exc L5-6 FEZF2 SH2D1B primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015104', label: Exc L6 FEZF2 PDYN, user_label: Exc L6 FEZF2 PDYN primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015105', label: Exc L6 FEZF2 FFAR4, user_label: Exc L6 FEZF2 FFAR4 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015106', label: Exc L6 FEZF2 PROKR2, user_label: Exc L6 FEZF2 PROKR2 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015107', label: Exc L5-6 FEZF2 CFTR, user_label: Exc L5-6 FEZF2 CFTR primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015108', label: Exc L6 FEZF2 KLK7, user_label: Exc L6 FEZF2 KLK7 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015109', label: Exc L6 FEZF2 POGK, user_label: Exc L6 FEZF2 POGK primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015110', label: Exc L5 FEZF2 CSN1S1, user_label: Exc L5 FEZF2 CSN1S1 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015111', label: Exc L3-5 FEZF2 ASGR2, user_label: Exc L3-5 FEZF2 ASGR2 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015112', label: Exc L3-5 FEZF2 LINC01107, user_label: Exc L3-5 FEZF2 LINC01107 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015113', label: Exc L5 FEZF2 PKD2L1, user_label: Exc L5 FEZF2 PKD2L1 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015114', label: Exc L5 FEZF2 NREP-AS1, user_label: Exc L5 FEZF2 NREP-AS1 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015115', label: Exc L5 FEZF2 RNF144A-AS1, user_label: Exc L5 FEZF2 RNF144A-AS1 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015116', label: Exc L5-6 FEZF2 IFNG-AS1, user_label: Exc L5-6 FEZF2 IFNG-AS1 primary motor cortex glutamatergic neuron (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015117', label: Exc L5-6 FEZF2 LPO, user_label: Exc L5-6 FEZF2 LPO primary motor cortex oligodendrocyte precursor cell (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015118', label: OPC L1-6 PDGFRA COL20A1, user_label: OPC L1-6 PDGFRA COL20A1 primary motor cortex glial cell (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015119', label: Oligo L3-6 OPALIN ENPP6, user_label: Oligo L3-6 OPALIN-like ENPP6 primary motor cortex oligodendrocyte (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015120', label: Oligo L2-6 OPALIN FTH1P3, user_label: Oligo L2-6 OPALIN FTH1P3 primary motor cortex oligodendrocyte (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015121', label: Oligo L5-6 OPALIN LDLRAP1, user_label: Oligo L5-6 OPALIN LDLRAP1 primary motor cortex oligodendrocyte (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015122', label: Astro L1-6 FGFR3 AQP1, user_label: Astro L1-6 FGFR3 AQP1 primary motor cortex glial cell (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015123', label: Astro L1 FGFR3 SERPINI2, user_label: Astro L1 FGFR3 SERPINI2 primary motor cortex glial cell (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015124', label: Astro L1-6 FGFR3 PLCG1, user_label: Astro L1-6 FGFR3 PLCG1 primary motor cortex glial cell (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015125', label: Endo L2-5 NOSTRIN SRGN, user_label: Endo L2-5 NOSTRIN SRGN primary motor cortex endothelial cell (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015126', label: VLMC L1-5 PDGFRA COLEC12, user_label: VLMC L1-5 PDGFRA COLEC12 primary motor cortex vascular leptomeningeal cell (Homo sapiens)
WARNING - No valid ID provided for 'PCL:0015127', label: Micro L1-6 TYROBP CD74, user_label: Micro L1-6 TYROBP CD74 primary motor cortex microglial cell (Homo sapiens)
