AS/1	AS/1/LABEL	AS/1/ID	AS/2	AS/2/LABEL	AS/2/ID	AS/3	AS/3/LABEL	AS/3/ID	AS/4	AS/4/LABEL	AS/4/ID	AS/5	AS/5/LABEL	AS/5/ID	CT/1	CT/1/LABEL	CT/1/ID	Protein biomarkers from Antibody Based Assays (IHC, FACS)	Transcriptomics/With References ()	BP/1	BP/1/LABEL	BP/1/ID	BP/2	BP/2/LABEL	BP/2/ID	BP/3	BP/3/LABEL	BP/3/ID	BP/4	BP/4/LABEL	BP/4/ID	BP/5	BP/5/LABEL	BP/5/ID	BP/6	BP/6/LABEL	BP/6/ID	BP/7	BP/7/LABEL	BP/7/ID	BP/8	BP/8/LABEL	BP/8/ID	FTU	REF/1	REF/1/DOI	REF/1/NOTES	REF/2	REF/2/DOI	REF/2/NOTES	REF/3	REF/3/DOI	REF/3/NOTES
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Secondary Follicle	lymph node secondary follicle	UBERON:0010753	Germinal Center	lymph node germinal center	UBERON:0009039	Light Zone			T Follicular Helper Cell	T follicular helper cell	CL:0002038	CD3+, CD4+, CD40L+, CD57+, CD69+, CXCR5+, ICOS+, PD-1+  	CD3, CD4, CXCR5, MAF, PDCD1 (Locci et al., Immunity 2013)																									1	Kim HG, de Guzman CG, Swindle CS, Cotta CV, Gartland L, Scott EW, Klug CA. The ETS family transcription factor PU.1 is necessary for the maintenance of fetal liver hematopoietic stem cells. Blood. 2004 Dec 15;104(13):3894-900. doi: 10.1182/blood-2002-08-2425. Epub 2004 Aug 24. PMID: 15328162.	doi: 10.1182/blood-2002-08-2425		Locci M, Havenar-Daughton C, Landais E, Wu J, Kroenke MA, Arlehamn CL, Su LF, Cubas R, Davis MM, Sette A, Haddad EK; International AIDS Vaccine Initiative Protocol C Principal Investigators, Poignard P, Crotty S. Human circulating PD-1+CXCR3-CXCR5+ memory Tfh cells are highly functional and correlate with broadly neutralizing HIV antibody responses. Immunity. 2013 Oct 17;39(4):758-69. doi: 10.1016/j.immuni.2013.08.031. Epub 2013 Sep 12. PMID: 24035365; PMCID: PMC3996844.	 doi: 10.1016/j.immuni.2013.08.031		Dorfman DM, Brown JA, Shahsafaei A, Freeman GJ. Programmed death-1 (PD-1) is a marker of germinal center-associated T cells and angioimmunoblastic T-cell lymphoma. Am J Surg Pathol. 2006 Jul;30(7):802-10. doi: 10.1097/01.pas.0000209855.28282.ce. PMID: 16819321; PMCID: PMC3137919.	DOI: 10.1097/01.pas.0000209855.28282.ce	
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Secondary Follicle	lymph node secondary follicle	UBERON:0010753	Germinal Center	lymph node germinal center	UBERON:0009039	Light Zone			T Follicular Regulatory Cell			CD3+, CD4+, CD25+, FOXP3+  	CD3, CD4, CXCR5, FOXP3, IL2RA (Szabo et al., Nat Commun 2019 & Zemmour et al., Nat Immunol 2018)																									1	Lim et al., 2004 JCI	https://doi.org/10.1172/JCI200422325	AS-CT	Sayin et al., 2018 J Exp Med	https://doi.org/10.1084/jem.20171940	AS-CT			
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Secondary Follicle	lymph node secondary follicle	UBERON:0010753	Germinal Center	lymph node germinal center	UBERON:0009039	Light Zone			Tingible Body Macrophage	lymph node tingible body macrophage	CL:0000888	CD11b+, CD68+, CD169+, SPARC+  	CD4, CD14, HLA-DRA, ITGAX (General macrophage signature from James et al., 2020);  Predicted: CD68,  SIGLEC1, SPARC																									1	Komohara, Y., Ohnishi, K., & Takeya, M. (2017). Possible functions of CD169-positive sinus macrophages in lymph nodes in anti-tumor immune responses. Cancer science, 108(3), 290–295. https://doi.org/10.1111/cas.13137	https://doi.org/10.1111/cas.13137							
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Secondary Follicle	lymph node secondary follicle	UBERON:0010753	Germinal Center	lymph node germinal center	UBERON:0009039	Light Zone	William-Mack 2016, Medeiros 2017		Plasmablast	plasmablast	CL:0000980	CD20-, CD27+, CD38++, CD79a+, CD138+, CXCR4+, IRF4+	CD38, IRF4, PRDM1, SDC1,  (James et al., 2020)																									1	O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT						
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Secondary Follicle	lymph node secondary follicle	UBERON:0010753	Germinal Center	lymph node germinal center	UBERON:0009039	Dark Zone	lymph node follicular corona	UBERON:0010420	Centroblast	William-Mack 2016, Medeiros 2017		BCL2-, BCL6++, CD10+, CD19+, CD20+, CD27+, CD38+, CXCR4+, HLA-DR+, IgD-, Ki67++, LMO2+  	AICDA, BCL6, CD19, CD27, CXCR4, Mki67, MS4A1 (Victora et al., 2012; Milpeid et al., 2018 James et al., 2020)																									1	Hsu SM, Jaffe ES. Phenotypic expression of B-lymphocytes. 2. Immunoglobulin expression of germinal center cells. Am J Pathol. 1984 Mar;114(3):396-402. PMID: 6364822; PMCID: PMC1900414.			Medeiros et al., 2017	https://www.arppress.org/v/vspfiles/assets/images/Chapter1T25LymphNodes.pdf (ISBN: ISBN 978-1933477-38-1)	AS-CT	Victora et al., 2012	10.1182/blood-2012-03-415380	AS-CT, CT-B
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Secondary Follicle	lymph node secondary follicle	UBERON:0010753	Germinal Center	lymph node germinal center	UBERON:0009039	Dark Zone	lymph node follicular corona	UBERON:0010420	Fibroblastic Reticular Cell	Link 2011, Fletcher 2011, Valencia 2017		CD31-, CXCL12+, Desmin+, Podoplanin+, Smooth Muscle Actin+, Vimentin+	CXCL12,TNFSF11 (Predicted from mouse-Rodda et al., 2018; Pikor et al., 2020)																									1	Medeiros et al., 2017	https://www.arppress.org/v/vspfiles/assets/images/Chapter1T25LymphNodes.pdf (ISBN: ISBN 978-1933477-38-1)	AS-CT						
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Secondary Follicle	lymph node secondary follicle	UBERON:0010753			UBERON:0009039	Mantle Zone			Naive B Cell			BCL2+, CD1c+, CD10-, CD20+, CD21+, CD23+,CD38+, CD45RA+, HLA-DR+, IgD+, IgM+  	CD19, MS4A1, IGHD, FCER2, HLA-DRA, SELL (James et al., 2020)																									1	O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT	O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT			
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Secondary Follicle	lymph node secondary follicle	UBERON:0010753			UBERON:0009039	Mantle Zone			Memory B Cell			CD19+, CD20+, CD45RO+, CD79a+, HLA-DR+  	CD19, MS4A1, HLA-DRA  (James et al., 2020)																									1	Hsu SM, Jaffe ES. Phenotypic expression of B-lymphocytes. 2. Immunoglobulin expression of germinal center cells. Am J Pathol. 1984 Mar;114(3):396-402. PMID: 6364822; PMCID: PMC1900414.			O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT			
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Secondary Follicle	lymph node secondary follicle	UBERON:0010753			UBERON:0009039	Marginal Zone	Medeiros 2017		Naive B Cell			BCL2+, CD1c+, CD19+, CD20+, CD21+/-, CD45RA+, CD79a+, IgD+, IgM+, HLA-DR+	CD19, MS4A1, IGHD, FCER2, HLA-DRA, SELL (James et al., 2020)																									1	Hsu SM, Jaffe ES. Phenotypic expression of B-lymphocytes. 2. Immunoglobulin expression of germinal center cells. Am J Pathol. 1984 Mar;114(3):396-402. PMID: 6364822; PMCID: PMC1900414.			O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT			
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Secondary Follicle	lymph node secondary follicle	UBERON:0010753			UBERON:0009039	Marginal Zone			Memory B Cell			CD19+, CD20+, CD45RO+, CD79a+, HLA-DR+  	CD19, MS4A1, HLA-DRA, JAM3, NOTCH2  (Milpeid et al., 2018;  James et al., 2020																									1	Hsu SM, Jaffe ES. Phenotypic expression of B-lymphocytes. 2. Immunoglobulin expression of germinal center cells. Am J Pathol. 1984 Mar;114(3):396-402. PMID: 6364822; PMCID: PMC1900414.			O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT			
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Secondary Follicle	lymph node secondary follicle	UBERON:0010753			UBERON:0009039	Marginal Zone	Medeiros 2017		Marginal B Cell			CD19+, CD20+, CD21+/-, CD23+/-, IgD+/-, IgM+	CD19, IGHM, MS4A1 (Predicted, no clear reference)																									1	Hsu SM, Jaffe ES. Phenotypic expression of B-lymphocytes. 2. Immunoglobulin expression of germinal center cells. Am J Pathol. 1984 Mar;114(3):396-402. PMID: 6364822; PMCID: PMC1900414.			O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT			
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Interfollicular Cortex	William-Mack 2016, Medeiros 2017								Naive CD4+ T cell			CCR7+, CD3+, CD4+, CD8-, CD28+, CD45RA+	CD3D, CCR7, SELL (Szabo et al., Nat Commun 2019; James et al., 2020)																										Kunicki et al., 2017	DOI: https://doi.org/10.4049/jimmunol.1701025	CT	O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT			
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Interfollicular Cortex									Memory CD4+ T cell			CD3+, CD4+, CD8-, CD45RA-	CD3D, CXCR6, ITGA1 (Szabo et al., Nat Commun 2019; James et al., 2020)																										Kunicki et al., 2017	DOI: https://doi.org/10.4049/jimmunol.1701025	CT	O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT			
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Interfollicular Cortex									Th1 cell			CD3+, CD4+, CD8-, CCR4-, CCR6-, CXCR3+, T-bet+	CD3D, IL7R, ID2 (James et al., 2020)																										Kunicki et al., 2017	DOI: https://doi.org/10.4049/jimmunol.1701025	CT	O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT			
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Interfollicular Cortex									Th2 cell			CD3+, CD4+, CD8-, CCR4+, CRTH2+, CXCR3-, GATA-3+	CD3D, IL7R, ID2 (James et al., 2020)																										Kunicki et al., 2017	DOI: https://doi.org/10.4049/jimmunol.1701025	CT	O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT			
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Interfollicular Cortex									Th17 cell			CD3+, CD4+, CD8-, CD161+, CCR6+, RORC2+	CD3D, CCR6, IL7R, ID2 (James et al., 2020)																										Kunicki et al., 2017	DOI: https://doi.org/10.4049/jimmunol.1701025	CT	O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT			
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Interfollicular Cortex									T Regulatory Cell			CD3+, CD4+, CD25+, FOXP3+	FOXP3, IL2RA, and CTLA4 (Szabo et al., Nat Commun 2019)																										Kunicki et al., 2017	DOI: https://doi.org/10.4049/jimmunol.1701025	CT	O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT			
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Interfollicular Cortex									T Cytotoxic Cell			CD3+, CD8+, Granzyme B+, Perforin+, TIA-1+	CD3D, CD8A, GZMB, GZMK (Szabo et al., Nat Commun 2019; James et al., 2020)																										Hsu SM, Jaffe ES. Phenotypic expression of T lymphocytes in thymus and peripheral lymphoid tissues. Am J Pathol. 1985 Oct;121(1):69-78. PMID: 3931482; PMCID: PMC1888042.								
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Interfollicular Cortex									Naive CD8+ T cell			CCR7+, CD3+, CD4-, CD8+, CD28+, CD45RA+	CD3D, CD8A, CCR7, SELL (Szabo et al., Nat Commun 2019; James et al., 2020)																										O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT						
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Interfollicular Cortex									Memory CD8+ T cell			CD3+, CD4-, CD8+, CD45RA-	CD3D, CD8A, CXCR6, ITGA1 (Szabo et al., Nat Commun 2019; James et al., 2020)																										O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT						
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Interfollicular Cortex									NK Cell			CD3-, CD3e+, CD16-, CD56+, CD57-, CD94+, CD117+, CD127+, CD94+, KIR-,  NKG2A+, NKG2D+ 	ID2, KLRD1 (James et al., 2020)																										O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT	Björkström NK, Ljunggren HG, Michaëlsson J. Emerging insights into natural killer cells in human peripheral tissues. Nat Rev Immunol. 2016 Apr 28;16(5):310-20. doi: 10.1038/nri.2016.34. PMID: 27121652.	doi: 10.1038/nri.2016.34.				
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Interfollicular Cortex									Plasmablast	plasmablast	CL:0000980	CD20-, CD38++, CD79a+, CD138+, CXCR4+, IRF4+	CD38, IRF4, PRDM1, SDC1 (Milpeid et al., 2018 James et al., 2020)																										O'Malley et al., 2009-Chapter 1	https://www.arppress.org/v/vspfiles/assets/images/NT%20Fascicle%207%20Chapter%201.pdf (ISBN: 978-1-933477-06-0)	AS-CT						
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Interfollicular Cortex									Fibroblastic Reticular Cell	Link 2011, Fletcher 2011, Valencia 2017		CCL19+, CCL21+, CD31-, Desmin+, Podoplanin+, Smooth Muscle Actin+, Vimentin+  	CCL19, CCL21, IL7 (Predicted from mouse-Rodda et al., 2018)																										Link A, Hardie DL, Favre S, Britschgi MR, Adams DH, Sixt M, Cyster JG, Buckley CD, Luther SA. Association of T-zone reticular networks and conduits with ectopic lymphoid tissues in mice and humans. Am J Pathol. 2011 Apr;178(4):1662-75. doi: 10.1016/j.ajpath.2010.12.039. PMID: 21435450; PMCID: PMC3070229.	DOI: 10.1016/j.ajpath.2010.12.039	AS-CT	Fletcher AL, Malhotra D, Acton SE, Lukacs-Kornek V, Bellemare-Pelletier A, Curry M, Armant M, Turley SJ. Reproducible isolation of lymph node stromal cells reveals site-dependent differences in fibroblastic reticular cells. Front Immunol. 2011 Sep 12;2:35. doi: 10.3389/fimmu.2011.00035. PMID: 22566825; PMCID: PMC3342056.	DOI: 10.3389/fimmu.2011.00035	AS-CT	Valencia J, Jiménez E, Martínez VG, Del Amo BG, Hidalgo L, Entrena A, Fernández-Sevilla LM, Del Río F, Varas A, Vicente Á, Sacedón R. Characterization of human fibroblastic reticular cells as potential immunotherapeutic tools. Cytotherapy. 2017 May;19(5):640-653. doi: 10.1016/j.jcyt.2017.01.010. Epub 2017 Mar 2. PMID: 28262465.	https://doi.org/10.1016/j.jcyt.2017.01.010	AS-CT
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Interfollicular Cortex									Interdigitating Dendritic Cell			CD11c+, CD40+, CD80+, CD83+, CD86+, HLA-DR+, ICAM-1+	ITGAX, CD40, CD83, HLA-DRA (James et al., 2020)-Not exhaustive																										Takahashi, K., Kenji, A., Norihiro, T., Eisaku, K., Takashi, O., Kazuhiko, H., Tadashi, Y., & Tadaatsu, A. (2001). Morphological interactions of interdigitating dendritic cells with B and T cells in human mesenteric lymph nodes. The American journal of pathology, 159(1), 131–138. https://doi.org/10.1016/S0002-9440(10)61680-X	https://doi.org/10.1016/S0002-9440(10)61680-X							
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Interfollicular Cortex									T Follicular Regulatory Cell			CD3+, CD4+, CD25+, FOXP3+  	CD3, CD4, CXCR5, FOXP3, IL2RA (Szabo et al., Nat Commun 2019 & Zemmour et al., Nat Immunol 2018)																										Lim et al., 2004 JCI	https://doi.org/10.1172/JCI200422325	AS-CT	Sayin et al., 2018 J Exp Med	https://doi.org/10.1084/jem.20171940	AS-CT			
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Interfollicular Cortex	William-Mack 2016, Medeiros 2017								Dendritic Cells-cDC2	mature conventional dendritic cell	CL:0000841	CD1c+, CD11c+, HLA-DR+, SIRPa+	CD1C, CLEC10A, CD86 (Villani et al., 2017 Science, James et al., 2020)																										Shin, J.-Y.; Wang, C.-Y.; Lin, C.-C.; Chu, C.-L. A Recently Described Type 2 Conventional Dendritic Cell (CDC2) Subset Mediates Inflammation. Cellular & Molecular Immunology 2020, 17 (12), 1215–1217. https://doi.org/10.1038/s41423-020-0511-y	https://doi.org/10.1038/s41423-020-0511-y		Summers et al., 2001	https://doi.org/10.1016/S0002-9440(10)61694-X	AS-CT	Granot et al., 2017 Immunity	https://doi.org/10.1016/j.immuni.2017.02.019	AS-CT
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Paracortex	William-Mack 2016, Medeiros 2017		Paracortical Sinus	William-Mack 2016,Jalkanen 2020					Lymphatic Endothelial Cell	endothelial cell of lymphatic vessel	CL:0002138	ACKR4-, CAV1+, CD31+, CD45-, CD73-, CD209+, Claudin 11-, ICAM1+, Lyve-1+, MARCO+, MFAP4-,  PDL1+, Podoplanin+, Prox-1+, STAB2+, TNFRSF9+	CD209, CLEC4G, CLEM4M, LYVE1, MARCO (Takeda et al., 2019; Xiang et al., 2020)																										Xiang M, Grosso RA, Takeda A, Pan J, Bekkhus T, Brulois K, Dermadi D, Nordling S, Vanlandewijck M, Jalkanen S, Ulvmar MH and Butcher EC (2020) A Single-Cell Transcriptional Roadmap of the Mouse and Human Lymph Node Lymphatic Vasculature. Front. Cardiovasc. Med. 7:52. doi: 10.3389/fcvm.2020.00052	https://doi.org/10.3389/fcvm.2020.00052		Takeda A, Hollmén M, Dermadi D, Pan J, Brulois KF, Kaukonen R, Lönnberg T, Boström P, Koskivuo I, Irjala H, Miyasaka M, Salmi M, Butcher EC, Jalkanen S. Single-Cell Survey of Human Lymphatics Unveils Marked Endothelial Cell Heterogeneity and Mechanisms of Homing for Neutrophils. Immunity. 2019 Sep 17;51(3):561-572.e5. doi: 10.1016/j.immuni.2019.06.027. Epub 2019 Aug 8. PMID: 31402260.	DOI: 10.1016/j.immuni.2019.06.027				
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Paracortex			Paracortical Sinus						Fibroblastic Reticular Cell	Link 2011, Fletcher 2011, Valencia 2017		CCL19+, CCL21+, CD31-, Desmin+, Podoplanin+, Smooth Muscle Actin+, Vimentin+  	CCL19, CCL21, IL7 (Predicted from mouse-Rodda et al., 2018)																										Link A, Hardie DL, Favre S, Britschgi MR, Adams DH, Sixt M, Cyster JG, Buckley CD, Luther SA. Association of T-zone reticular networks and conduits with ectopic lymphoid tissues in mice and humans. Am J Pathol. 2011 Apr;178(4):1662-75. doi: 10.1016/j.ajpath.2010.12.039. PMID: 21435450; PMCID: PMC3070229.	DOI: 10.1016/j.ajpath.2010.12.039	AS-CT	Fletcher AL, Malhotra D, Acton SE, Lukacs-Kornek V, Bellemare-Pelletier A, Curry M, Armant M, Turley SJ. Reproducible isolation of lymph node stromal cells reveals site-dependent differences in fibroblastic reticular cells. Front Immunol. 2011 Sep 12;2:35. doi: 10.3389/fimmu.2011.00035. PMID: 22566825; PMCID: PMC3342056.	DOI: 10.3389/fimmu.2011.00035	AS-CT	Valencia J, Jiménez E, Martínez VG, Del Amo BG, Hidalgo L, Entrena A, Fernández-Sevilla LM, Del Río F, Varas A, Vicente Á, Sacedón R. Characterization of human fibroblastic reticular cells as potential immunotherapeutic tools. Cytotherapy. 2017 May;19(5):640-653. doi: 10.1016/j.jcyt.2017.01.010. Epub 2017 Mar 2. PMID: 28262465.	https://doi.org/10.1016/j.jcyt.2017.01.010	AS-CT
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Paracortex			Paracortical Sinus	William-Mack 2016					Macrophage			CD14+/-, CD68+, CD163+, CD169-, CD206+/-, CD209+	CD4, CD14, HLA-DRA, ITGAX (General macrophage signature from James et al., 2020);  Predicted: CD68, CD163, CD209																										Catherine E. Angel, Chun-Jen J. Chen, Oliver C. Horlacher, Sintia Winkler, Thomas John, Judy Browning, Duncan MacGregor, Jonathan Cebon, P. Rod Dunbar; Distinctive localization of antigen-presenting cells in human lymph nodes. Blood 2009; 113 (6): 1257–1267. doi: https://doi.org/10.1182/blood-2008-06-165266	"https://doi.org/10.1182/blood-2008-06-165266
"	AS-CT	Nguyen TT, Schwartz EJ, West RB, Warnke RA, Arber DA, Natkunam Y. Expression of CD163 (hemoglobin scavenger receptor) in normal tissues, lymphomas, carcinomas, and sarcomas is largely restricted to the monocyte/macrophage lineage. Am J Surg Pathol. 2005 May;29(5):617-24. doi: 10.1097/01.pas.0000157940.80538.ec. PMID: 15832085.	DOI: 10.1097/01.pas.0000157940.80538.ec	AS-CT	Egan C, Jaffe ES. Non-neoplastic histiocytic and dendritic cell disorders in lymph nodes. Semin Diagn Pathol. 2018 Jan;35(1):20-33. doi: 10.1053/j.semdp.2017.11.002. Epub 2017 Nov 3. PMID: 29150219; PMCID: PMC5803315.	DOI: 10.1053/j.semdp.2017.11.002	AS-CT
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Paracortex			Vasculature	can this be more specific? NO		Arterioles	can this be more specific? NO		Blood Vessel Endothelial Cell			CD31+, CD34+, 	CAV1, CCL14, CD34, CD74, CD209, CD300LG, DARC, EMCN, ESAM, ICAM1, JAM2, HLA-DRA, HLA-DRB1, HLA-DPA1, HLA-DPB1, MARCO, PLVAP, PVRL2, SPARCL1, (PECAM1 inferred) (general signature from Takeda 2020)																										Pusztaszeri MP, Seelentag W, Bosman FT. Immunohistochemical Expression of Endothelial Markers CD31, CD34, von Willebrand Factor, and Fli-1 in Normal Human Tissues. Journal of Histochemistry & Cytochemistry. 2006;54(4):385-395. doi:10.1369/jhc.4A6514.2005	https://doi.org/10.1369/jhc.4A6514.2005							
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Paracortex			Vasculature			Capillaries	can this be more specific? NO		Blood Vessel Endothelial Cell			CD31+, CD34+, 	CAV1, CCL14, CD34, CD74, CD209, CD300LG, DARC, EMCN, ESAM, ICAM1, JAM2, HLA-DRA, HLA-DRB1, HLA-DPA1, HLA-DPB1, MARCO, PLVAP, PVRL2, SPARCL1, (PECAM1 inferred) (general signature from Takeda 2020)																										Pusztaszeri MP, Seelentag W, Bosman FT. Immunohistochemical Expression of Endothelial Markers CD31, CD34, von Willebrand Factor, and Fli-1 in Normal Human Tissues. Journal of Histochemistry & Cytochemistry. 2006;54(4):385-395. doi:10.1369/jhc.4A6514.2006	https://doi.org/10.1369/jhc.4A6514.2005							
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Paracortex			Vasculature			High Endothelial Venule	can this be more specific? NO		Blood Vessel Endothelial Cell			CD31+, CD123+, Collagen IV+, PNAd, Smooth Actin Muscle+	CAV1, CCL14, CD34, CD74, CD209, CD300LG, DARC, EMCN, ESAM, ICAM1, JAM2, HLA-DRA, HLA-DRB1, HLA-DPA1, HLA-DPB1, MARCO, PLVAP, PVRL2, SPARCL1, (PECAM1 inferred) (general signature from Takeda 2020)																										Girard, J. P., Moussion, C. & Forster, R. HEVs, lymphatics and homeostatic immune cell trafficking in lymph nodes. Nat Rev Immunol 12, 762-773, doi:10.1038/nri3298 (2012).	doi:10.1038/nri3298 (2012).							
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Paracortex			Vasculature						Pericyte			PDGFRalpha+, PDGFRbeta+	PDGFRalpha+, PDGFRbeta+ (Xiang et al., 2020)																										Xiang M, Grosso RA, Takeda A, Pan J, Bekkhus T, Brulois K, Dermadi D, Nordling S, Vanlandewijck M, Jalkanen S, Ulvmar MH and Butcher EC (2020) A Single-Cell Transcriptional Roadmap of the Mouse and Human Lymph Node Lymphatic Vasculature. Front. Cardiovasc. Med. 7:52. doi: 10.3389/fcvm.2020.00052	https://doi.org/10.3389/fcvm.2020.00052	AS-CT, CT-B						
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Paracortex			Paracortical Cord	Gretz 1997, William-Mack 2006, Medeiros 2017					Plasmacytoid Dendritic Cell	plasmacytoid dendritic cell, human	CL:0001058	CD11c-, CD45RA+, CD123+, CD303+, TCF4+	IL3RA, CLEC4C, GZMB, IGJ (Discriminating for this subset; Villani et al., 2017 Science)																										Summers et al., 2001	https://doi.org/10.1016/S0002-9440(10)61694-X	AS-CT	Jegalian et al., 2009	doi: 10.1097/PAP.0b013e3181bb6bc2	AS-CT			
lymph node	lymph node	UBERON:0000029	Cortex	cortex of lymph node	UBERON:0002006	Paracortex			Paracortical Cord						Dendritic Cells-cDC1			CD11c+, CD13+, CD141++, HLA-DR+	XCR1, CADM1, CLEC9A, BATF3, IDO1 (James et al., 2020)																										Summers et al., 2001	https://doi.org/10.1016/S0002-9440(10)61694-X	AS-CT	Granot et al., 2017 Immunity	https://doi.org/10.1016/j.immuni.2017.02.019	AS-CT			
